"spatial_scale","regions","climates","type","probas","time_window"
"rta",6,"gfdl-esm4 ssp126","at_least_one_10_up_down",0.269091817165664,30
"rta",6,"gfdl-esm4 ssp126","at_least_one_25_up_down",0,30
"rta",6,"gfdl-esm4 ssp126","at_least_two_5_down",0.669414876,30
"rta",6,"gfdl-esm4 ssp126","at_least_two_10_down",0.022725,30
"rta",6,"gfdl-esm4 ssp126","at_least_two_25_down",0,30
"rta",6,"gfdl-esm4 ssp126","at_least_three_5_down",0.107427438,30
"rta",6,"gfdl-esm4 ssp126","at_least_three_10_down",-3.46944695195361e-18,30
"rta",6,"gfdl-esm4 ssp126","at_least_three_25_down",0,30
"rta",6,"gfdl-esm4 ssp585","at_least_one_5_up",0.950422038292,30
"rta",6,"gfdl-esm4 ssp585","at_least_one_10_up",0.88521694309,30
"rta",6,"gfdl-esm4 ssp585","at_least_one_25_up",0.547444848,30
"rta",6,"gfdl-esm4 ssp585","at_least_one_5_down",1,30
"rta",6,"gfdl-esm4 ssp585","at_least_one_10_down",1,30
"rta",6,"gfdl-esm4 ssp585","at_least_one_25_down",0.9338813406382,30
"rta",6,"gfdl-esm4 ssp585","at_least_one_5_up_down",0.950422038292,30
"rta",6,"gfdl-esm4 ssp585","at_least_one_10_up_down",0.88521694309,30
"rta",6,"gfdl-esm4 ssp585","at_least_one_25_up_down",0.511248528575715,30
"rta",6,"gfdl-esm4 ssp585","at_least_two_5_down",1,30
"rta",6,"gfdl-esm4 ssp585","at_least_two_10_down",1,30
"rta",6,"gfdl-esm4 ssp585","at_least_two_25_down",0.5737217629146,30
"rta",6,"gfdl-esm4 ssp585","at_least_three_5_down",0.7917457860496,30
"rta",6,"gfdl-esm4 ssp585","at_least_three_10_down",0.537147565528,30
"rta",6,"gfdl-esm4 ssp585","at_least_three_25_down",0.157284260809,30
"rta",6,"ipsl-cm6a-lr ssp126","at_least_one_5_up",0.6914354816584,30
"rta",6,"ipsl-cm6a-lr ssp126","at_least_one_10_up",0.537168099,30
"rta",6,"ipsl-cm6a-lr ssp126","at_least_one_25_up",0.1,30
"rta",6,"ipsl-cm6a-lr ssp126","at_least_one_5_down",0.895864215765885,30
"rta",6,"ipsl-cm6a-lr ssp126","at_least_one_10_down",0.566101377912482,30
"rta",6,"ipsl-cm6a-lr ssp126","at_least_one_25_down",0.0909,30
"rta",6,"ipsl-cm6a-lr ssp126","at_least_one_5_up_down",0.61943230552861,30
"rta",6,"ipsl-cm6a-lr ssp126","at_least_one_10_up_down",0.304091601014529,30
"rta",6,"ipsl-cm6a-lr ssp126","at_least_one_25_up_down",0.00909,30
"rta",6,"ipsl-cm6a-lr ssp126","at_least_two_5_down",0.536339135866464,30
"rta",6,"ipsl-cm6a-lr ssp126","at_least_two_10_down",0.162525466562553,30
"rta",6,"ipsl-cm6a-lr ssp126","at_least_two_25_down",-1.38777878078145e-17,30
"rta",6,"ipsl-cm6a-lr ssp126","at_least_three_5_down",0.167657229757294,30
"rta",6,"ipsl-cm6a-lr ssp126","at_least_three_10_down",0.0226489131374471,30
"rta",6,"ipsl-cm6a-lr ssp126","at_least_three_25_down",-1.38777878078145e-17,30
"rta",6,"ipsl-cm6a-lr ssp585","at_least_one_5_up",0.6400022764224,30
"rta",6,"ipsl-cm6a-lr ssp585","at_least_one_10_up",0.6400022764224,30
"rta",6,"ipsl-cm6a-lr ssp585","at_least_one_25_up",0.26362,30
"rta",6,"ipsl-cm6a-lr ssp585","at_least_one_5_down",0.998824511819774,30
"rta",6,"ipsl-cm6a-lr ssp585","at_least_one_10_down",0.997060885231227,30
"rta",6,"ipsl-cm6a-lr ssp585","at_least_one_25_down",0.814839115856672,30
"rta",6,"ipsl-cm6a-lr ssp585","at_least_one_5_up_down",0.639249961311148,30
"rta",6,"ipsl-cm6a-lr ssp585","at_least_one_10_up_down",0.638121236279719,30
"rta",6,"ipsl-cm6a-lr ssp585","at_least_one_25_up_down",0.214807887722136,30
"rta",6,"ipsl-cm6a-lr ssp585","at_least_two_5_down",0.980213294415678,30
"rta",6,"ipsl-cm6a-lr ssp585","at_least_two_10_down",0.958585997573754,30
"rta",6,"ipsl-cm6a-lr ssp585","at_least_two_25_down",0.425104585235803,30
"rta",6,"ipsl-cm6a-lr ssp585","at_least_three_5_down",0.870238468919137,30
"rta",6,"ipsl-cm6a-lr ssp585","at_least_three_10_down",0.778681492254881,30
"rta",6,"ipsl-cm6a-lr ssp585","at_least_three_25_down",0.124060378349558,30
"rta",7,"gfdl-esm4 ssp126","at_least_one_5_up",0.933881157,30
"rta",7,"gfdl-esm4 ssp126","at_least_one_10_up",0.925617438,30
"rta",7,"gfdl-esm4 ssp126","at_least_one_25_up",0.36363,30
"rta",7,"gfdl-esm4 ssp126","at_least_one_5_down",0.933881157,30
"rta",7,"gfdl-esm4 ssp126","at_least_one_10_down",0.590905,30
"rta",7,"gfdl-esm4 ssp126","at_least_one_25_down",0,30
"rta",7,"gfdl-esm4 ssp126","at_least_one_5_up_down",0.872134015399659,30
"rta",7,"gfdl-esm4 ssp126","at_least_one_10_up_down",0.54695197220139,30
"rta",7,"gfdl-esm4 ssp126","at_least_one_25_up_down",0,30
"rta",7,"gfdl-esm4 ssp126","at_least_two_5_down",0.571884628,30
"rta",7,"gfdl-esm4 ssp126","at_least_two_10_down",0.140905,30
"rta",7,"gfdl-esm4 ssp126","at_least_two_25_down",0,30
"rta",7,"gfdl-esm4 ssp126","at_least_three_5_down",0.147918843,30
"rta",7,"gfdl-esm4 ssp126","at_least_three_10_down",0.00908999999999999,30
"rta",7,"gfdl-esm4 ssp126","at_least_three_25_down",0,30
"rta",7,"gfdl-esm4 ssp585","at_least_one_5_up",0.98016562,30
"rta",7,"gfdl-esm4 ssp585","at_least_one_10_up",0.92065157,30
"rta",7,"gfdl-esm4 ssp585","at_least_one_25_up",0.62808719,30
"rta",7,"gfdl-esm4 ssp585","at_least_one_5_down",1,30
"rta",7,"gfdl-esm4 ssp585","at_least_one_10_down",0.9799152355,30
"rta",7,"gfdl-esm4 ssp585","at_least_one_25_down",0.609477913,30
"rta",7,"gfdl-esm4 ssp585","at_least_one_5_up_down",0.98016562,30
"rta",7,"gfdl-esm4 ssp585","at_least_one_10_up_down",0.902160500029995,30
"rta",7,"gfdl-esm4 ssp585","at_least_one_25_up_down",0.382805269743234,30
"rta",7,"gfdl-esm4 ssp585","at_least_two_5_down",0.928586413,30
"rta",7,"gfdl-esm4 ssp585","at_least_two_10_down",0.8158932725,30
"rta",7,"gfdl-esm4 ssp585","at_least_two_25_down",0.173744215,30
"rta",7,"gfdl-esm4 ssp585","at_least_three_5_down",0.548720396,30
"rta",7,"gfdl-esm4 ssp585","at_least_three_10_down",0.4048023345,30
"rta",7,"gfdl-esm4 ssp585","at_least_three_25_down",0.0204515909999998,30
"rta",7,"ipsl-cm6a-lr ssp126","at_least_one_5_up",0.959499504,30
"rta",7,"ipsl-cm6a-lr ssp126","at_least_one_10_up",0.851234876,30
"rta",7,"ipsl-cm6a-lr ssp126","at_least_one_25_up",0.27272,30
"rta",7,"ipsl-cm6a-lr ssp126","at_least_one_5_down",1,30
"rta",7,"ipsl-cm6a-lr ssp126","at_least_one_10_down",0.448997244573,30
"rta",7,"ipsl-cm6a-lr ssp126","at_least_one_25_down",0,30
"rta",7,"ipsl-cm6a-lr ssp126","at_least_one_5_up_down",0.959499504,30
"rta",7,"ipsl-cm6a-lr ssp126","at_least_one_10_up_down",0.382202113808439,30
"rta",7,"ipsl-cm6a-lr ssp126","at_least_one_25_up_down",0,30
"rta",7,"ipsl-cm6a-lr ssp126","at_least_two_5_down",0.8794987768,30
"rta",7,"ipsl-cm6a-lr ssp126","at_least_two_10_down",0.0633487608539999,30
"rta",7,"ipsl-cm6a-lr ssp126","at_least_two_25_down",0,30
"rta",7,"ipsl-cm6a-lr ssp126","at_least_three_5_down",0.3305553056,30
"rta",7,"ipsl-cm6a-lr ssp126","at_least_three_10_down",0.00275399457299993,30
"rta",7,"ipsl-cm6a-lr ssp126","at_least_three_25_down",0,30
"rta",7,"ipsl-cm6a-lr ssp585","at_least_one_5_up",0.979342975,30
"rta",7,"ipsl-cm6a-lr ssp585","at_least_one_10_up",0.900832645,30
"rta",7,"ipsl-cm6a-lr ssp585","at_least_one_25_up",0.537168099,30
"rta",7,"ipsl-cm6a-lr ssp585","at_least_one_5_down",1,30
"rta",7,"ipsl-cm6a-lr ssp585","at_least_one_10_down",0.98437580138512,30
"rta",7,"ipsl-cm6a-lr ssp585","at_least_one_25_down",0.6032671063471,30
"rta",7,"ipsl-cm6a-lr ssp585","at_least_one_5_up_down",0.979342975,30
"rta",7,"ipsl-cm6a-lr ssp585","at_least_one_10_up_down",0.886757856835752,30
"rta",7,"ipsl-cm6a-lr ssp585","at_least_one_25_up_down",0.324055844705702,30
"rta",7,"ipsl-cm6a-lr ssp585","at_least_two_5_down",1,30
"rta",7,"ipsl-cm6a-lr ssp585","at_least_two_10_down",0.82964240670192,30
"rta",7,"ipsl-cm6a-lr ssp585","at_least_two_25_down",0.1724256756777,30
"rta",7,"ipsl-cm6a-lr ssp585","at_least_three_5_down",0.531367768,30
"rta",7,"ipsl-cm6a-lr ssp585","at_least_three_10_down",0.38668013816752,30
"rta",7,"ipsl-cm6a-lr ssp585","at_least_three_25_down",0.0203810196032999,30
"rta",9,"gfdl-esm4 ssp126","at_least_one_5_up",0.955930027438,30
"rta",9,"gfdl-esm4 ssp126","at_least_one_10_up",0.779625896281,30
"rta",9,"gfdl-esm4 ssp126","at_least_one_25_up",0.1111,30
"rta",9,"gfdl-esm4 ssp126","at_least_one_5_down",0.863635,30
"rta",9,"gfdl-esm4 ssp126","at_least_one_10_down",0.25,30
"rta",9,"gfdl-esm4 ssp126","at_least_one_25_down",0,30
"rta",9,"gfdl-esm4 ssp126","at_least_one_5_up_down",0.825574629246417,30
"rta",9,"gfdl-esm4 ssp126","at_least_one_10_up_down",0.19490647407025,30
"rta",9,"gfdl-esm4 ssp126","at_least_one_25_up_down",0,30
"rta",9,"gfdl-esm4 ssp126","at_least_two_5_down",0.349995,30
"rta",9,"gfdl-esm4 ssp126","at_least_two_10_down",0,30
"rta",9,"gfdl-esm4 ssp126","at_least_two_25_down",0,30
"rta",9,"gfdl-esm4 ssp126","at_least_three_5_down",0.02727,30
"rta",9,"gfdl-esm4 ssp126","at_least_three_10_down",0,30
"rta",9,"gfdl-esm4 ssp126","at_least_three_25_down",0,30
"rta",9,"gfdl-esm4 ssp585","at_least_one_5_up",0.955930027438,30
"rta",9,"gfdl-esm4 ssp585","at_least_one_10_up",0.950422038292,30
