"spatial_scale","climates","type","probas","time_window"
"global","gfdl-esm4 ssp126","at_least_one_change_5",0.9724520663416,30
"global","gfdl-esm4 ssp126","at_least_two_change_5",0.7800723561304,30
"global","gfdl-esm4 ssp126","at_least_three_change_5",0.3813948065032,30
"global","gfdl-esm4 ssp126","at_least_one_change_10",0.36363,30
"global","gfdl-esm4 ssp126","at_least_two_change_10",0.02727,30
"global","gfdl-esm4 ssp126","at_least_three_change_10",1.73472347597681e-17,30
"global","gfdl-esm4 ssp126","at_least_one_change_25",0,30
"global","gfdl-esm4 ssp126","at_least_two_change_25",0,30
"global","gfdl-esm4 ssp126","at_least_three_change_25",0,30
"global","gfdl-esm4 ssp585","at_least_one_change_5",1,30
"global","gfdl-esm4 ssp585","at_least_two_change_5",1,30
"global","gfdl-esm4 ssp585","at_least_three_change_5",1,30
"global","gfdl-esm4 ssp585","at_least_one_change_10",1,30
"global","gfdl-esm4 ssp585","at_least_two_change_10",0.9958690081405,30
"global","gfdl-esm4 ssp585","at_least_three_change_10",0.9316942417135,30
"global","gfdl-esm4 ssp585","at_least_one_change_25",0.6826217074876,30
"global","gfdl-esm4 ssp585","at_least_two_change_25",0.2418479706832,30
"global","gfdl-esm4 ssp585","at_least_three_change_25",0.0389271261707999,30
"global","ipsl-cm6a-lr ssp126","at_least_one_change_5",0.9702491323843,30
"global","ipsl-cm6a-lr ssp126","at_least_two_change_5",0.7838864191405,30
"global","ipsl-cm6a-lr ssp126","at_least_three_change_5",0.4030236223347,30
"global","ipsl-cm6a-lr ssp126","at_least_one_change_10",0.318202273,30
"global","ipsl-cm6a-lr ssp126","at_least_two_change_10",0.0378824239999999,30
"global","ipsl-cm6a-lr ssp126","at_least_three_change_10",0.00151530299999991,30
"global","ipsl-cm6a-lr ssp126","at_least_one_change_25",0,30
"global","ipsl-cm6a-lr ssp126","at_least_two_change_25",0,30
"global","ipsl-cm6a-lr ssp126","at_least_three_change_25",0,30
"global","ipsl-cm6a-lr ssp585","at_least_one_change_5",1,30
"global","ipsl-cm6a-lr ssp585","at_least_two_change_5",1,30
"global","ipsl-cm6a-lr ssp585","at_least_three_change_5",0.9977968043416,30
"global","ipsl-cm6a-lr ssp585","at_least_one_change_10",1,30
"global","ipsl-cm6a-lr ssp585","at_least_two_change_10",0.9944902617562,30
"global","ipsl-cm6a-lr ssp585","at_least_three_change_10",0.934754573281,30
"global","ipsl-cm6a-lr ssp585","at_least_one_change_25",0.807182836047578,30
"global","ipsl-cm6a-lr ssp585","at_least_two_change_25",0.387608743693785,30
"global","ipsl-cm6a-lr ssp585","at_least_three_change_25",0.0978188045541764,30
"global","gfdl-esm4 ssp126","at_least_one_change_5",0.9862260331708,20
"global","gfdl-esm4 ssp126","at_least_two_change_5",0.8682261345124,20
"global","gfdl-esm4 ssp126","at_least_three_change_5",0.533321974146,20
"global","gfdl-esm4 ssp126","at_least_one_change_10",0.27272,20
"global","gfdl-esm4 ssp126","at_least_two_change_10",0.01818,20
"global","gfdl-esm4 ssp126","at_least_three_change_10",-2.42861286636753e-17,20
"global","gfdl-esm4 ssp126","at_least_one_change_25",0,20
"global","gfdl-esm4 ssp126","at_least_two_change_25",0,20
"global","gfdl-esm4 ssp126","at_least_three_change_25",0,20
"global","gfdl-esm4 ssp585","at_least_one_change_5",1,20
"global","gfdl-esm4 ssp585","at_least_two_change_5",1,20
"global","gfdl-esm4 ssp585","at_least_three_change_5",1,20
"global","gfdl-esm4 ssp585","at_least_one_change_10",1,20
"global","gfdl-esm4 ssp585","at_least_two_change_10",0.9966952065124,20
"global","gfdl-esm4 ssp585","at_least_three_change_10",0.9435375751708,20
"global","gfdl-esm4 ssp585","at_least_one_change_25",0.6826217074876,20
"global","gfdl-esm4 ssp585","at_least_two_change_25",0.2418479706832,20
"global","gfdl-esm4 ssp585","at_least_three_change_25",0.0389271261707999,20
"global","ipsl-cm6a-lr ssp126","at_least_one_change_5",1,20
"global","ipsl-cm6a-lr ssp126","at_least_two_change_5",0.8809965295372,20
"global","ipsl-cm6a-lr ssp126","at_least_three_change_5",0.4925560879504,20
"global","ipsl-cm6a-lr ssp126","at_least_one_change_10",0.318202273,20
"global","ipsl-cm6a-lr ssp126","at_least_two_change_10",0.0378824239999999,20
"global","ipsl-cm6a-lr ssp126","at_least_three_change_10",0.00151530299999991,20
"global","ipsl-cm6a-lr ssp126","at_least_one_change_25",0,20
"global","ipsl-cm6a-lr ssp126","at_least_two_change_25",0,20
"global","ipsl-cm6a-lr ssp126","at_least_three_change_25",0,20
"global","ipsl-cm6a-lr ssp585","at_least_one_change_5",1,20
"global","ipsl-cm6a-lr ssp585","at_least_two_change_5",1,20
"global","ipsl-cm6a-lr ssp585","at_least_three_change_5",0.9988984021708,20
"global","ipsl-cm6a-lr ssp585","at_least_one_change_10",1,20
"global","ipsl-cm6a-lr ssp585","at_least_two_change_10",1,20
"global","ipsl-cm6a-lr ssp585","at_least_three_change_10",0.9922876033168,20
"global","ipsl-cm6a-lr ssp585","at_least_one_change_25",0.900836887110183,20
"global","ipsl-cm6a-lr ssp585","at_least_two_change_25",0.573846122785134,20
"global","ipsl-cm6a-lr ssp585","at_least_three_change_25",0.219362623185652,20
"global","gfdl-esm4 ssp126","at_least_one_change_5",0.969697576,10
"global","gfdl-esm4 ssp126","at_least_two_change_5",0.76111192,10
"global","gfdl-esm4 ssp126","at_least_three_change_5",0.343427272,10
"global","gfdl-esm4 ssp126","at_least_one_change_10",0.27272,10
"global","gfdl-esm4 ssp126","at_least_two_change_10",0.01818,10
"global","gfdl-esm4 ssp126","at_least_three_change_10",-2.42861286636753e-17,10
"global","gfdl-esm4 ssp126","at_least_one_change_25",0,10
"global","gfdl-esm4 ssp126","at_least_two_change_25",0,10
"global","gfdl-esm4 ssp126","at_least_three_change_25",0,10
"global","gfdl-esm4 ssp585","at_least_one_change_5",1,10
"global","gfdl-esm4 ssp585","at_least_two_change_5",1,10
"global","gfdl-esm4 ssp585","at_least_three_change_5",0.9984851515,10
"global","gfdl-esm4 ssp585","at_least_one_change_10",1,10
"global","gfdl-esm4 ssp585","at_least_two_change_10",0.9977968043416,10
"global","gfdl-esm4 ssp585","at_least_three_change_10",0.9581349858292,10
"global","gfdl-esm4 ssp585","at_least_one_change_25",0.7619573544628,10
"global","gfdl-esm4 ssp585","at_least_two_change_25",0.3421131680496,10
"global","gfdl-esm4 ssp585","at_least_three_change_25",0.0771198905124,10
"global","ipsl-cm6a-lr ssp126","at_least_one_change_5",0.9702491323843,10
"global","ipsl-cm6a-lr ssp126","at_least_two_change_5",0.7838864191405,10
"global","ipsl-cm6a-lr ssp126","at_least_three_change_5",0.4030236223347,10
"global","ipsl-cm6a-lr ssp126","at_least_one_change_10",0.318202273,10
"global","ipsl-cm6a-lr ssp126","at_least_two_change_10",0.0378824239999999,10
"global","ipsl-cm6a-lr ssp126","at_least_three_change_10",0.00151530299999991,10
"global","ipsl-cm6a-lr ssp126","at_least_one_change_25",0,10
"global","ipsl-cm6a-lr ssp126","at_least_two_change_25",0,10
"global","ipsl-cm6a-lr ssp126","at_least_three_change_25",0,10
"global","ipsl-cm6a-lr ssp585","at_least_one_change_5",1,10
"global","ipsl-cm6a-lr ssp585","at_least_two_change_5",1,10
"global","ipsl-cm6a-lr ssp585","at_least_three_change_5",1,10
"global","ipsl-cm6a-lr ssp585","at_least_one_change_10",1,10
"global","ipsl-cm6a-lr ssp585","at_least_two_change_10",1,10
"global","ipsl-cm6a-lr ssp585","at_least_three_change_10",0.9961438016584,10
"global","ipsl-cm6a-lr ssp585","at_least_one_change_25",0.940496777243813,10
"global","ipsl-cm6a-lr ssp585","at_least_two_change_25",0.671890936534424,10
"global","ipsl-cm6a-lr ssp585","at_least_three_change_25",0.303152006087686,10
