"sector","spatial_scale","eco_model","climate_model","experiment_climate","output_variable","percent_diff"
"agriculture","global","lpjml","gfdl-esm4","ssp585","rice",25.4547858262511
"agriculture","global","pdssat","gfdl-esm4","ssp585","maize",-38.9497462385282
"agriculture","global","pdssat","gfdl-esm4","ssp585","wheat",18.2326092778915
"agriculture","global","pdssat","gfdl-esm4","ssp585","soybean",11.5033243427304
"agriculture","global","pdssat","gfdl-esm4","ssp585","rice",12.7100755960511
"agriculture","global","pepic","gfdl-esm4","ssp585","maize",-10.4223085326303
"agriculture","global","pepic","gfdl-esm4","ssp585","wheat",9.05843501732617
"agriculture","global","pepic","gfdl-esm4","ssp585","soybean",5.27188046371367
"agriculture","global","pepic","gfdl-esm4","ssp585","rice",4.70446719580507
"agriculture","global","promet","gfdl-esm4","ssp585","maize",15.9014104640876
"agriculture","global","promet","gfdl-esm4","ssp585","wheat",68.3315131942017
"agriculture","global","promet","gfdl-esm4","ssp585","soybean",53.8286753735617
"agriculture","global","promet","gfdl-esm4","ssp585","rice",29.7492912902568
"agriculture","global","simplace-lintul5","gfdl-esm4","ssp585","maize",-16.2081561476983
"agriculture","global","simplace-lintul5","gfdl-esm4","ssp585","wheat",60.686211350899
"agriculture","global","simplace-lintul5","gfdl-esm4","ssp585","soybean",25.6030861816463
"agriculture","global","simplace-lintul5","gfdl-esm4","ssp585","rice",NA
"agriculture","global","crover","ipsl-cm6a-lr","ssp126","maize",-4.18144970708698
"agriculture","global","crover","ipsl-cm6a-lr","ssp126","wheat",-0.0052373620521748
"agriculture","global","crover","ipsl-cm6a-lr","ssp126","soybean",6.2812906718619
"agriculture","global","crover","ipsl-cm6a-lr","ssp126","rice",-3.25847652964368
"agriculture","global","cygma1p74","ipsl-cm6a-lr","ssp126","maize",-11.3439699044355
"agriculture","global","cygma1p74","ipsl-cm6a-lr","ssp126","wheat",-3.12380006987119
"agriculture","global","cygma1p74","ipsl-cm6a-lr","ssp126","soybean",-10.9785185706827
"agriculture","global","cygma1p74","ipsl-cm6a-lr","ssp126","rice",3.83441958608848
"agriculture","global","dssat-pythia","ipsl-cm6a-lr","ssp126","maize",-0.982215895139488
"agriculture","global","dssat-pythia","ipsl-cm6a-lr","ssp126","wheat",-1.64101655392748
"agriculture","global","dssat-pythia","ipsl-cm6a-lr","ssp126","soybean",NA
"agriculture","global","dssat-pythia","ipsl-cm6a-lr","ssp126","rice",NA
"agriculture","global","epic-iiasa","ipsl-cm6a-lr","ssp126","maize",-1.42554659462667
"agriculture","global","epic-iiasa","ipsl-cm6a-lr","ssp126","wheat",3.45550312918947
"agriculture","global","epic-iiasa","ipsl-cm6a-lr","ssp126","soybean",2.67356630693436
"agriculture","global","epic-iiasa","ipsl-cm6a-lr","ssp126","rice",2.60816006228538
"agriculture","global","isam","ipsl-cm6a-lr","ssp126","maize",-6.03095379142933
"agriculture","global","isam","ipsl-cm6a-lr","ssp126","wheat",3.33942788213785
"agriculture","global","isam","ipsl-cm6a-lr","ssp126","soybean",0.785279746396877
"agriculture","global","isam","ipsl-cm6a-lr","ssp126","rice",-0.0261726609603754
"agriculture","global","ldndc","ipsl-cm6a-lr","ssp126","maize",-0.297420533635837
"agriculture","global","ldndc","ipsl-cm6a-lr","ssp126","wheat",1.79553154143486
"agriculture","global","ldndc","ipsl-cm6a-lr","ssp126","soybean",-2.03838769923678
"agriculture","global","ldndc","ipsl-cm6a-lr","ssp126","rice",1.8300894408515
"agriculture","global","lpjml","ipsl-cm6a-lr","ssp126","maize",0.558822257236228
"agriculture","global","lpjml","ipsl-cm6a-lr","ssp126","wheat",1.93099126024483
"agriculture","global","lpjml","ipsl-cm6a-lr","ssp126","soybean",5.09711478117447
"agriculture","global","lpjml","ipsl-cm6a-lr","ssp126","rice",1.65235183704231
"agriculture","global","pdssat","ipsl-cm6a-lr","ssp126","maize",-8.01546291722548
"agriculture","global","pdssat","ipsl-cm6a-lr","ssp126","wheat",2.76709811420399
"agriculture","global","pdssat","ipsl-cm6a-lr","ssp126","soybean",8.77738638348743
"agriculture","global","pdssat","ipsl-cm6a-lr","ssp126","rice",-0.914711376515235
"agriculture","global","pepic","ipsl-cm6a-lr","ssp126","maize",0.0201413351756255
"agriculture","global","pepic","ipsl-cm6a-lr","ssp126","wheat",0.926226677218436
"agriculture","global","pepic","ipsl-cm6a-lr","ssp126","soybean",3.04852365420685
"agriculture","global","pepic","ipsl-cm6a-lr","ssp126","rice",2.60579988739822
"agriculture","global","promet","ipsl-cm6a-lr","ssp126","maize",0.372272086378196
"agriculture","global","promet","ipsl-cm6a-lr","ssp126","wheat",7.39664234952403
"agriculture","global","promet","ipsl-cm6a-lr","ssp126","soybean",4.10812154016259
"agriculture","global","promet","ipsl-cm6a-lr","ssp126","rice",3.56696617766717
"agriculture","global","simplace-lintul5","ipsl-cm6a-lr","ssp126","maize",-3.44377775965468
"agriculture","global","simplace-lintul5","ipsl-cm6a-lr","ssp126","wheat",5.79914937021837
"agriculture","global","simplace-lintul5","ipsl-cm6a-lr","ssp126","soybean",3.29644151947234
"agriculture","global","simplace-lintul5","ipsl-cm6a-lr","ssp126","rice",NA
"agriculture","global","crover","ipsl-cm6a-lr","ssp585","maize",-29.9403664997329
"agriculture","global","crover","ipsl-cm6a-lr","ssp585","wheat",-40.9152222248735
"agriculture","global","crover","ipsl-cm6a-lr","ssp585","soybean",-41.2585201157222
"agriculture","global","crover","ipsl-cm6a-lr","ssp585","rice",-51.7729089045793
"agriculture","global","cygma1p74","ipsl-cm6a-lr","ssp585","maize",-70.8938749486543
"agriculture","global","cygma1p74","ipsl-cm6a-lr","ssp585","wheat",-9.90924077157263
"agriculture","global","cygma1p74","ipsl-cm6a-lr","ssp585","soybean",-74.189158677616
"agriculture","global","cygma1p74","ipsl-cm6a-lr","ssp585","rice",-15.3763013105648
"agriculture","global","dssat-pythia","ipsl-cm6a-lr","ssp585","maize",-53.5956957114986
"agriculture","global","dssat-pythia","ipsl-cm6a-lr","ssp585","wheat",-7.64187274720561
"agriculture","global","dssat-pythia","ipsl-cm6a-lr","ssp585","soybean",NA
"agriculture","global","dssat-pythia","ipsl-cm6a-lr","ssp585","rice",NA
"agriculture","global","epic-iiasa","ipsl-cm6a-lr","ssp585","maize",-25.0832221550518
"agriculture","global","epic-iiasa","ipsl-cm6a-lr","ssp585","wheat",-9.19568864004456
"agriculture","global","epic-iiasa","ipsl-cm6a-lr","ssp585","soybean",-22.031885828803
"agriculture","global","epic-iiasa","ipsl-cm6a-lr","ssp585","rice",-14.8435378823344
"agriculture","global","isam","ipsl-cm6a-lr","ssp585","maize",-37.6037756910849
"agriculture","global","isam","ipsl-cm6a-lr","ssp585","wheat",-7.92136877332047
"agriculture","global","isam","ipsl-cm6a-lr","ssp585","soybean",-31.8856043575574
"agriculture","global","isam","ipsl-cm6a-lr","ssp585","rice",-1.47396401984049
"agriculture","global","ldndc","ipsl-cm6a-lr","ssp585","maize",4.89187278774105
