"spatial_scale","climates","type","probas","time_window"
"global","gfdl-esm4 ssp126","at_least_one_5_up",0.9941240036584,30
"global","gfdl-esm4 ssp126","at_least_one_10_up",0.742862901382,30
"global","gfdl-esm4 ssp126","at_least_one_25_up",0,30
"global","gfdl-esm4 ssp126","at_least_one_5_down",1,30
"global","gfdl-esm4 ssp126","at_least_one_10_down",0.318175,30
"global","gfdl-esm4 ssp126","at_least_one_25_down",0,30
"global","gfdl-esm4 ssp126","at_least_one_5_up_down",0.9941240036584,30
"global","gfdl-esm4 ssp126","at_least_one_10_up_down",0.236360403647218,30
"global","gfdl-esm4 ssp126","at_least_one_25_up_down",0,30
"global","gfdl-esm4 ssp126","at_least_two_5_down",0.476344,30
"global","gfdl-esm4 ssp126","at_least_two_10_down",0.022725,30
"global","gfdl-esm4 ssp126","at_least_two_25_down",0,30
"global","gfdl-esm4 ssp126","at_least_three_5_down",0.0909019999999998,30
"global","gfdl-esm4 ssp126","at_least_three_10_down",-3.46944695195361e-18,30
"global","gfdl-esm4 ssp126","at_least_three_25_down",0,30
"global","gfdl-esm4 ssp585","at_least_one_5_up",0.9963276032764,30
"global","gfdl-esm4 ssp585","at_least_one_10_up",0.9724520663416,30
"global","gfdl-esm4 ssp585","at_least_one_25_up",0.604014242,30
"global","gfdl-esm4 ssp585","at_least_one_5_down",1,30
"global","gfdl-esm4 ssp585","at_least_one_10_down",1,30
"global","gfdl-esm4 ssp585","at_least_one_25_down",0.26362,30
"global","gfdl-esm4 ssp585","at_least_one_5_up_down",0.9963276032764,30
"global","gfdl-esm4 ssp585","at_least_one_10_up_down",0.9724520663416,30
"global","gfdl-esm4 ssp585","at_least_one_25_up_down",0.15923023447604,30
"global","gfdl-esm4 ssp585","at_least_two_5_down",0.88100095893058,30
"global","gfdl-esm4 ssp585","at_least_two_10_down",0.78844614920992,30
"global","gfdl-esm4 ssp585","at_least_two_25_down",0.01818,30
"global","gfdl-esm4 ssp585","at_least_three_5_down",0.44429993381818,30
"global","gfdl-esm4 ssp585","at_least_three_10_down",0.29417996666152,30
"global","gfdl-esm4 ssp585","at_least_three_25_down",-2.42861286636753e-17,30
"global","ipsl-cm6a-lr ssp126","at_least_one_5_up",0.7649078418292,30
"global","ipsl-cm6a-lr ssp126","at_least_one_10_up",0.434330707,30
"global","ipsl-cm6a-lr ssp126","at_least_one_25_up",0,30
