"sector","spatial_scale","eco_model","climate_model","experiment_climate","output_variable","percent_diff"
"agriculture","global","lpjml","gfdl-esm4","ssp585","rice",25.0495354873818
"agriculture","global","pdssat","gfdl-esm4","ssp585","maize",-37.3021886459337
"agriculture","global","pdssat","gfdl-esm4","ssp585","wheat",21.1205304788213
"agriculture","global","pdssat","gfdl-esm4","ssp585","soybean",12.861474133117
"agriculture","global","pdssat","gfdl-esm4","ssp585","rice",11.9205938219905
"agriculture","global","pepic","gfdl-esm4","ssp585","maize",-9.49849601990157
"agriculture","global","pepic","gfdl-esm4","ssp585","wheat",9.91220020433057
"agriculture","global","pepic","gfdl-esm4","ssp585","soybean",7.10143175866606
"agriculture","global","pepic","gfdl-esm4","ssp585","rice",5.021620927186
"agriculture","global","promet","gfdl-esm4","ssp585","maize",16.5826205590874
"agriculture","global","promet","gfdl-esm4","ssp585","wheat",69.1125712746541
"agriculture","global","promet","gfdl-esm4","ssp585","soybean",55.7978495035201
"agriculture","global","promet","gfdl-esm4","ssp585","rice",29.6697084540338
"agriculture","global","simplace-lintul5","gfdl-esm4","ssp585","maize",-13.2190938023658
"agriculture","global","simplace-lintul5","gfdl-esm4","ssp585","wheat",64.5882079232593
"agriculture","global","simplace-lintul5","gfdl-esm4","ssp585","soybean",27.6994418053906
"agriculture","global","simplace-lintul5","gfdl-esm4","ssp585","rice",NA
"agriculture","global","crover","ipsl-cm6a-lr","ssp126","maize",-4.41464646815071
"agriculture","global","crover","ipsl-cm6a-lr","ssp126","wheat",-0.198178166041675
"agriculture","global","crover","ipsl-cm6a-lr","ssp126","soybean",6.03280207288082
"agriculture","global","crover","ipsl-cm6a-lr","ssp126","rice",-3.58582202801926
"agriculture","global","cygma1p74","ipsl-cm6a-lr","ssp126","maize",-10.1232653091128
"agriculture","global","cygma1p74","ipsl-cm6a-lr","ssp126","wheat",-2.88894756727883
"agriculture","global","cygma1p74","ipsl-cm6a-lr","ssp126","soybean",-9.88649154367755
"agriculture","global","cygma1p74","ipsl-cm6a-lr","ssp126","rice",3.82702761164827
"agriculture","global","dssat-pythia","ipsl-cm6a-lr","ssp126","maize",-0.542804506820767
"agriculture","global","dssat-pythia","ipsl-cm6a-lr","ssp126","wheat",-1.32616153595485
"agriculture","global","dssat-pythia","ipsl-cm6a-lr","ssp126","soybean",NA
"agriculture","global","dssat-pythia","ipsl-cm6a-lr","ssp126","rice",NA
"agriculture","global","epic-iiasa","ipsl-cm6a-lr","ssp126","maize",-1.49406432247511
"agriculture","global","epic-iiasa","ipsl-cm6a-lr","ssp126","wheat",3.54404199882787
"agriculture","global","epic-iiasa","ipsl-cm6a-lr","ssp126","soybean",2.468524189495
"agriculture","global","epic-iiasa","ipsl-cm6a-lr","ssp126","rice",2.57537306754708
"agriculture","global","isam","ipsl-cm6a-lr","ssp126","maize",-6.87876039491788
"agriculture","global","isam","ipsl-cm6a-lr","ssp126","wheat",4.02182899221291
"agriculture","global","isam","ipsl-cm6a-lr","ssp126","soybean",0.209863549424643
"agriculture","global","isam","ipsl-cm6a-lr","ssp126","rice",-0.257231510924977
"agriculture","global","ldndc","ipsl-cm6a-lr","ssp126","maize",-0.544077056621222
"agriculture","global","ldndc","ipsl-cm6a-lr","ssp126","wheat",1.65924608297768
