"sector","years","spatial_scale","eco_model","climate_model","experiment_climate","output_variable","percent_diff"
"agriculture",1999,"global","crover","gfdl-esm4","ssp126","rice",-0.68817482213014
"agriculture",2000,"global","crover","gfdl-esm4","ssp126","maize",1.13286945865787
"agriculture",2000,"global","crover","gfdl-esm4","ssp126","wheat",-6.29183574656984
"agriculture",2000,"global","crover","gfdl-esm4","ssp126","soybean",-6.88791459088553
"agriculture",2000,"global","crover","gfdl-esm4","ssp126","rice",-1.16912476008645
"agriculture",2001,"global","crover","gfdl-esm4","ssp126","maize",0.653598128937292
"agriculture",2001,"global","crover","gfdl-esm4","ssp126","wheat",-2.75870452204282
"agriculture",2001,"global","crover","gfdl-esm4","ssp126","soybean",-11.5083149924263
"agriculture",2001,"global","crover","gfdl-esm4","ssp126","rice",-3.88840149135162
"agriculture",2002,"global","crover","gfdl-esm4","ssp126","maize",1.72843375878879
"agriculture",2002,"global","crover","gfdl-esm4","ssp126","wheat",0.680228865882401
"agriculture",2002,"global","crover","gfdl-esm4","ssp126","soybean",-6.28932422888745
"agriculture",2002,"global","crover","gfdl-esm4","ssp126","rice",-2.33739342904885
"agriculture",2003,"global","crover","gfdl-esm4","ssp126","maize",2.52214273132402
"agriculture",2003,"global","crover","gfdl-esm4","ssp126","wheat",0.445576441217851
"agriculture",2003,"global","crover","gfdl-esm4","ssp126","soybean",-3.73187354461257
"agriculture",2003,"global","crover","gfdl-esm4","ssp126","rice",-1.30824275033451
"agriculture",2004,"global","crover","gfdl-esm4","ssp126","maize",0.352383565802986
"agriculture",2004,"global","crover","gfdl-esm4","ssp126","wheat",-4.85101764365769
"agriculture",2004,"global","crover","gfdl-esm4","ssp126","soybean",-4.40364650133111
"agriculture",2004,"global","crover","gfdl-esm4","ssp126","rice",-2.22729783208462
"agriculture",2005,"global","crover","gfdl-esm4","ssp126","maize",2.84380311439951
"agriculture",2005,"global","crover","gfdl-esm4","ssp126","wheat",-0.553659765647016
"agriculture",2005,"global","crover","gfdl-esm4","ssp126","soybean",-0.443263098172267
"agriculture",2005,"global","crover","gfdl-esm4","ssp126","rice",-0.499810471822583
"agriculture",2006,"global","crover","gfdl-esm4","ssp126","maize",-1.04077430268415
"agriculture",2006,"global","crover","gfdl-esm4","ssp126","wheat",0.174079592514677
"agriculture",2006,"global","crover","gfdl-esm4","ssp126","soybean",-5.0426939388397
"agriculture",2006,"global","crover","gfdl-esm4","ssp126","rice",2.91078394895864
"agriculture",2007,"global","crover","gfdl-esm4","ssp126","maize",1.13180803572516
"agriculture",2007,"global","crover","gfdl-esm4","ssp126","wheat",-5.0546087164747
"agriculture",2007,"global","crover","gfdl-esm4","ssp126","soybean",-0.436217588515315
"agriculture",2007,"global","crover","gfdl-esm4","ssp126","rice",1.56812624737599
"agriculture",2008,"global","crover","gfdl-esm4","ssp126","maize",-0.951507742028699
"agriculture",2008,"global","crover","gfdl-esm4","ssp126","wheat",-7.48097380585931
"agriculture",2008,"global","crover","gfdl-esm4","ssp126","soybean",-8.92623906952015
"agriculture",2008,"global","crover","gfdl-esm4","ssp126","rice",-0.63980217767476
"agriculture",2009,"global","crover","gfdl-esm4","ssp126","maize",-1.3945750986142
"agriculture",2009,"global","crover","gfdl-esm4","ssp126","wheat",-1.52535737625538
"agriculture",2009,"global","crover","gfdl-esm4","ssp126","soybean",-6.0696599368152
