"spatial_scale","climates","type","probas","time_window"
"global","gfdl-esm4 ssp126","at_least_one_5_up_down",0.3053197016584,30
"global","gfdl-esm4 ssp126","at_least_one_10_up_down",0,30
"global","gfdl-esm4 ssp126","at_least_one_25_up_down",0,30
"global","gfdl-esm4 ssp126","at_least_two_5_down",0.022725,30
"global","gfdl-esm4 ssp126","at_least_two_10_down",0,30
"global","gfdl-esm4 ssp126","at_least_two_25_down",0,30
"global","gfdl-esm4 ssp126","at_least_three_5_down",-3.46944695195361e-18,30
"global","gfdl-esm4 ssp126","at_least_three_10_down",0,30
"global","gfdl-esm4 ssp126","at_least_three_25_down",0,30
"global","gfdl-esm4 ssp585","at_least_one_5_up_down",0.9975211019146,30
"global","gfdl-esm4 ssp585","at_least_one_10_up_down",0.9853104131056,30
"global","gfdl-esm4 ssp585","at_least_one_25_up_down",0.14431932813802,30
"global","gfdl-esm4 ssp585","at_least_two_5_down",0.8677788432562,30
"global","gfdl-esm4 ssp585","at_least_two_10_down",0.563594545,30
"global","gfdl-esm4 ssp585","at_least_two_25_down",0.01818,30
"global","gfdl-esm4 ssp585","at_least_three_5_down",0.4596966116056,30
"global","gfdl-esm4 ssp585","at_least_three_10_down",0.09695596,30
"global","gfdl-esm4 ssp585","at_least_three_25_down",-2.42861286636753e-17,30
"global","ipsl-cm6a-lr ssp126","at_least_one_5_up_down",0.403956365746485,30
"global","ipsl-cm6a-lr ssp126","at_least_one_10_up_down",0,30
"global","ipsl-cm6a-lr ssp126","at_least_one_25_up_down",0,30
"global","ipsl-cm6a-lr ssp126","at_least_two_5_down",0.64622068225,30
"global","ipsl-cm6a-lr ssp126","at_least_two_10_down",0.0378824239999999,30
"global","ipsl-cm6a-lr ssp126","at_least_two_25_down",0,30
"global","ipsl-cm6a-lr ssp126","at_least_three_5_down",0.18408568125,30
"global","ipsl-cm6a-lr ssp126","at_least_three_10_down",0.00151530299999991,30
"global","ipsl-cm6a-lr ssp126","at_least_three_25_down",0,30
"global","ipsl-cm6a-lr ssp585","at_least_one_5_up_down",0.547444848,30
"global","ipsl-cm6a-lr ssp585","at_least_one_10_up_down",0.490883232,30
"global","ipsl-cm6a-lr ssp585","at_least_one_25_up_down",0.1372948760325,30
"global","ipsl-cm6a-lr ssp585","at_least_two_5_down",1,30
"global","ipsl-cm6a-lr ssp585","at_least_two_10_down",0.9807174380854,30
"global","ipsl-cm6a-lr ssp585","at_least_two_25_down",0.296013437780563,30
"global","ipsl-cm6a-lr ssp585","at_least_three_5_down",0.9807155373664,30
"global","ipsl-cm6a-lr ssp585","at_least_three_10_down",0.8350820342135,30
"global","ipsl-cm6a-lr ssp585","at_least_three_25_down",0.0575511538977572,30
"global","gfdl-esm4 ssp126","at_least_one_5_up_down",0.5289215428292,20
"global","gfdl-esm4 ssp126","at_least_one_10_up_down",0,20
"global","gfdl-esm4 ssp126","at_least_one_25_up_down",0,20
"global","gfdl-esm4 ssp126","at_least_two_5_down",0.04545,20
"global","gfdl-esm4 ssp126","at_least_two_10_down",0,20
"global","gfdl-esm4 ssp126","at_least_two_25_down",0,20
"global","gfdl-esm4 ssp126","at_least_three_5_down",-6.93889390390723e-18,20
"global","gfdl-esm4 ssp126","at_least_three_10_down",0,20
"global","gfdl-esm4 ssp126","at_least_three_25_down",0,20
"global","gfdl-esm4 ssp585","at_least_one_5_up_down",0.9966948025528,20
"global","gfdl-esm4 ssp585","at_least_one_10_up_down",0.963276032764,20
"global","gfdl-esm4 ssp585","at_least_one_25_up_down",0.14431932813802,20
"global","gfdl-esm4 ssp585","at_least_two_5_down",0.8237051243416,20
"global","gfdl-esm4 ssp585","at_least_two_10_down",0.706175207236,20
"global","gfdl-esm4 ssp585","at_least_two_25_down",0.01818,20
"global","gfdl-esm4 ssp585","at_least_three_5_down",0.3726399998494,20
"global","gfdl-esm4 ssp585","at_least_three_10_down",0.213961395337,20
"global","gfdl-esm4 ssp585","at_least_three_25_down",-2.42861286636753e-17,20
"global","ipsl-cm6a-lr ssp126","at_least_one_5_up_down",0.42726,20
"global","ipsl-cm6a-lr ssp126","at_least_one_10_up_down",0,20
"global","ipsl-cm6a-lr ssp126","at_least_one_25_up_down",0,20
"global","ipsl-cm6a-lr ssp126","at_least_two_5_down",0.781831819,20
"global","ipsl-cm6a-lr ssp126","at_least_two_10_down",0.0378824239999999,20
"global","ipsl-cm6a-lr ssp126","at_least_two_25_down",0,20
"global","ipsl-cm6a-lr ssp126","at_least_three_5_down",0.239387272,20
"global","ipsl-cm6a-lr ssp126","at_least_three_10_down",0.00151530299999991,20
"global","ipsl-cm6a-lr ssp126","at_least_three_25_down",0,20
"global","ipsl-cm6a-lr ssp585","at_least_one_5_up_down",0.547444848,20
