"spatial_scale","climates","type","probas","time_window"
"global","gfdl-esm4 ssp585","at_least_three_change_25",0.0966745464875998,10
"global","ipsl-cm6a-lr ssp126","at_least_one_change_5",0.993144475068255,10
"global","ipsl-cm6a-lr ssp126","at_least_two_change_5",0.928968904977278,10
"global","ipsl-cm6a-lr ssp126","at_least_three_change_5",0.710561721961325,10
"global","ipsl-cm6a-lr ssp126","at_least_one_change_10",0.735528668849417,10
"global","ipsl-cm6a-lr ssp126","at_least_two_change_10",0.315324952608493,10
"global","ipsl-cm6a-lr ssp126","at_least_three_change_10",0.0727540309510169,10
"global","ipsl-cm6a-lr ssp126","at_least_one_change_25",0,10
"global","ipsl-cm6a-lr ssp126","at_least_two_change_25",0,10
"global","ipsl-cm6a-lr ssp126","at_least_three_change_25",0,10
"global","ipsl-cm6a-lr ssp585","at_least_one_change_5",1,10
"global","ipsl-cm6a-lr ssp585","at_least_two_change_5",1,10
"global","ipsl-cm6a-lr ssp585","at_least_three_change_5",1,10
"global","ipsl-cm6a-lr ssp585","at_least_one_change_10",1,10
"global","ipsl-cm6a-lr ssp585","at_least_two_change_10",1,10
"global","ipsl-cm6a-lr ssp585","at_least_three_change_10",0.995592800764,10
"global","ipsl-cm6a-lr ssp585","at_least_one_change_25",0.98589478798458,10
"global","ipsl-cm6a-lr ssp585","at_least_two_change_25",0.868936742210486,10
"global","ipsl-cm6a-lr ssp585","at_least_three_change_25",0.552003407901881,10
