"regions","spatial_scale","climates","type","probas","time_window"
"Bahamas","regions","gfdl-esm4 ssp126","at_least_three_5_down",-5.55111512312578e-17,30
"Bahamas","regions","gfdl-esm4 ssp126","at_least_three_10_down",-5.55111512312578e-17,30
"Bahamas","regions","gfdl-esm4 ssp126","at_least_three_25_down",0,30
"Bahamas","regions","gfdl-esm4 ssp585","at_least_one_5_up_down",0.676747600425249,30
"Bahamas","regions","gfdl-esm4 ssp585","at_least_one_10_up_down",0.527120886275748,30
"Bahamas","regions","gfdl-esm4 ssp585","at_least_one_25_up_down",0.309284465833374,30
"Bahamas","regions","gfdl-esm4 ssp585","at_least_two_5_down",0.60803642,30
"Bahamas","regions","gfdl-esm4 ssp585","at_least_two_10_down",0.377322685,30
"Bahamas","regions","gfdl-esm4 ssp585","at_least_two_25_down",0.17590463,30
"Bahamas","regions","gfdl-esm4 ssp585","at_least_three_5_down",0.22531358,30
"Bahamas","regions","gfdl-esm4 ssp585","at_least_three_10_down",0.0871919749999998,30
"Bahamas","regions","gfdl-esm4 ssp585","at_least_three_25_down",0.0185148149999999,30
"Bahamas","regions","ipsl-cm6a-lr ssp126","at_least_one_5_up_down",0.20985679,30
"Bahamas","regions","ipsl-cm6a-lr ssp126","at_least_one_10_up_down",0,30
"Bahamas","regions","ipsl-cm6a-lr ssp126","at_least_one_25_up_down",0,30
"Bahamas","regions","ipsl-cm6a-lr ssp126","at_least_two_5_down",0.753108642716,30
"Bahamas","regions","ipsl-cm6a-lr ssp126","at_least_two_10_down",0.55551111,30
"Bahamas","regions","ipsl-cm6a-lr ssp126","at_least_two_25_down",0.160478395,30
"Bahamas","regions","ipsl-cm6a-lr ssp126","at_least_three_5_down",0.271621604568,30
"Bahamas","regions","ipsl-cm6a-lr ssp126","at_least_three_10_down",0.11108889,30
"Bahamas","regions","ipsl-cm6a-lr ssp126","at_least_three_25_down",0.00925740749999993,30
"Bahamas","regions","ipsl-cm6a-lr ssp585","at_least_one_5_up_down",0.495876132428,30
"Bahamas","regions","ipsl-cm6a-lr ssp585","at_least_one_10_up_down",0.39502716,30
"Bahamas","regions","ipsl-cm6a-lr ssp585","at_least_one_25_up_down",0.292739348468967,30
"Bahamas","regions","ipsl-cm6a-lr ssp585","at_least_two_5_down",0.96297037,30
"Bahamas","regions","ipsl-cm6a-lr ssp585","at_least_two_10_down",0.950624691358,30
"Bahamas","regions","ipsl-cm6a-lr ssp585","at_least_two_25_down",0.678510597572,30
"Bahamas","regions","ipsl-cm6a-lr ssp585","at_least_three_5_down",0.72225,30
"Bahamas","regions","ipsl-cm6a-lr ssp585","at_least_three_10_down",0.654339507284,30
"Bahamas","regions","ipsl-cm6a-lr ssp585","at_least_three_25_down",0.25875689214,30
"Bahrain","regions","gfdl-esm4 ssp126","at_least_one_5_up_down",0,30
"Bahrain","regions","gfdl-esm4 ssp126","at_least_one_10_up_down",0,30
"Bahrain","regions","gfdl-esm4 ssp126","at_least_one_25_up_down",0,30
"Bahrain","regions","gfdl-esm4 ssp126","at_least_two_5_down",0.75,30
"Bahrain","regions","gfdl-esm4 ssp126","at_least_two_10_down",0.5625,30
"Bahrain","regions","gfdl-esm4 ssp126","at_least_two_25_down",0,30
"Bahrain","regions","gfdl-esm4 ssp126","at_least_three_5_down",NA,30
"Bahrain","regions","gfdl-esm4 ssp126","at_least_three_10_down",NA,30
"Bahrain","regions","gfdl-esm4 ssp126","at_least_three_25_down",NA,30
"Bahrain","regions","gfdl-esm4 ssp585","at_least_one_5_up_down",0,30
"Bahrain","regions","gfdl-esm4 ssp585","at_least_one_10_up_down",0,30
"Bahrain","regions","gfdl-esm4 ssp585","at_least_one_25_up_down",0,30
"Bahrain","regions","gfdl-esm4 ssp585","at_least_two_5_down",0.75,30
"Bahrain","regions","gfdl-esm4 ssp585","at_least_two_10_down",0.25,30
"Bahrain","regions","gfdl-esm4 ssp585","at_least_two_25_down",0,30
"Bahrain","regions","gfdl-esm4 ssp585","at_least_three_5_down",NA,30
"Bahrain","regions","gfdl-esm4 ssp585","at_least_three_10_down",NA,30
"Bahrain","regions","gfdl-esm4 ssp585","at_least_three_25_down",NA,30
"Bahrain","regions","ipsl-cm6a-lr ssp126","at_least_one_5_up_down",0,30
"Bahrain","regions","ipsl-cm6a-lr ssp126","at_least_one_10_up_down",0,30
"Bahrain","regions","ipsl-cm6a-lr ssp126","at_least_one_25_up_down",0,30
"Bahrain","regions","ipsl-cm6a-lr ssp126","at_least_two_5_down",0.1667,30
"Bahrain","regions","ipsl-cm6a-lr ssp126","at_least_two_10_down",0.1667,30
"Bahrain","regions","ipsl-cm6a-lr ssp126","at_least_two_25_down",0.1667,30
"Bahrain","regions","ipsl-cm6a-lr ssp126","at_least_three_5_down",NA,30
"Bahrain","regions","ipsl-cm6a-lr ssp126","at_least_three_10_down",NA,30
"Bahrain","regions","ipsl-cm6a-lr ssp126","at_least_three_25_down",NA,30
"Bahrain","regions","ipsl-cm6a-lr ssp585","at_least_one_5_up_down",0.3333,30
"Bahrain","regions","ipsl-cm6a-lr ssp585","at_least_one_10_up_down",0.3333,30
"Bahrain","regions","ipsl-cm6a-lr ssp585","at_least_one_25_up_down",0,30
"Bahrain","regions","ipsl-cm6a-lr ssp585","at_least_two_5_down",0.3333,30
"Bahrain","regions","ipsl-cm6a-lr ssp585","at_least_two_10_down",0.3333,30
"Bahrain","regions","ipsl-cm6a-lr ssp585","at_least_two_25_down",0.1667,30
"Bahrain","regions","ipsl-cm6a-lr ssp585","at_least_three_5_down",NA,30
"Bahrain","regions","ipsl-cm6a-lr ssp585","at_least_three_10_down",NA,30
"Bahrain","regions","ipsl-cm6a-lr ssp585","at_least_three_25_down",NA,30
"Bajo Nuevo Bank","regions","gfdl-esm4 ssp126","at_least_one_5_up_down",0,30
"Bajo Nuevo Bank","regions","gfdl-esm4 ssp126","at_least_one_10_up_down",0,30
"Bajo Nuevo Bank","regions","gfdl-esm4 ssp126","at_least_one_25_up_down",0,30
"Bajo Nuevo Bank","regions","gfdl-esm4 ssp126","at_least_two_5_down",NA,30
"Bajo Nuevo Bank","regions","gfdl-esm4 ssp126","at_least_two_10_down",NA,30
"Bajo Nuevo Bank","regions","gfdl-esm4 ssp126","at_least_two_25_down",NA,30
"Bajo Nuevo Bank","regions","gfdl-esm4 ssp126","at_least_three_5_down",NA,30
"Bajo Nuevo Bank","regions","gfdl-esm4 ssp126","at_least_three_10_down",NA,30
"Bajo Nuevo Bank","regions","gfdl-esm4 ssp126","at_least_three_25_down",NA,30
"Bajo Nuevo Bank","regions","gfdl-esm4 ssp585","at_least_one_5_up_down",0,30
"Bajo Nuevo Bank","regions","gfdl-esm4 ssp585","at_least_one_10_up_down",0,30
"Bajo Nuevo Bank","regions","gfdl-esm4 ssp585","at_least_one_25_up_down",0,30
"Bajo Nuevo Bank","regions","gfdl-esm4 ssp585","at_least_two_5_down",NA,30
"Bajo Nuevo Bank","regions","gfdl-esm4 ssp585","at_least_two_10_down",NA,30
"Bajo Nuevo Bank","regions","gfdl-esm4 ssp585","at_least_two_25_down",NA,30
"Bajo Nuevo Bank","regions","gfdl-esm4 ssp585","at_least_three_5_down",NA,30
"Bajo Nuevo Bank","regions","gfdl-esm4 ssp585","at_least_three_10_down",NA,30
"Bajo Nuevo Bank","regions","gfdl-esm4 ssp585","at_least_three_25_down",NA,30
"Bajo Nuevo Bank","regions","ipsl-cm6a-lr ssp126","at_least_one_5_up_down",0.05556111,30
"Bajo Nuevo Bank","regions","ipsl-cm6a-lr ssp126","at_least_one_10_up_down",0,30
"Bajo Nuevo Bank","regions","ipsl-cm6a-lr ssp126","at_least_one_25_up_down",0,30
"Bajo Nuevo Bank","regions","ipsl-cm6a-lr ssp126","at_least_two_5_down",NA,30
"Bajo Nuevo Bank","regions","ipsl-cm6a-lr ssp126","at_least_two_10_down",NA,30
"Bajo Nuevo Bank","regions","ipsl-cm6a-lr ssp126","at_least_two_25_down",NA,30
"Bajo Nuevo Bank","regions","ipsl-cm6a-lr ssp126","at_least_three_5_down",NA,30
"Bajo Nuevo Bank","regions","ipsl-cm6a-lr ssp126","at_least_three_10_down",NA,30
"Bajo Nuevo Bank","regions","ipsl-cm6a-lr ssp126","at_least_three_25_down",NA,30
"Bajo Nuevo Bank","regions","ipsl-cm6a-lr ssp585","at_least_one_5_up_down",0.05556111,30
"Bajo Nuevo Bank","regions","ipsl-cm6a-lr ssp585","at_least_one_10_up_down",0,30
"Bajo Nuevo Bank","regions","ipsl-cm6a-lr ssp585","at_least_one_25_up_down",0,30
"Bajo Nuevo Bank","regions","ipsl-cm6a-lr ssp585","at_least_two_5_down",NA,30
"Bajo Nuevo Bank","regions","ipsl-cm6a-lr ssp585","at_least_two_10_down",NA,30
"Bajo Nuevo Bank","regions","ipsl-cm6a-lr ssp585","at_least_two_25_down",NA,30
"Bajo Nuevo Bank","regions","ipsl-cm6a-lr ssp585","at_least_three_5_down",NA,30
"Bajo Nuevo Bank","regions","ipsl-cm6a-lr ssp585","at_least_three_10_down",NA,30
"Bajo Nuevo Bank","regions","ipsl-cm6a-lr ssp585","at_least_three_25_down",NA,30
"Bangladesh","regions","gfdl-esm4 ssp126","at_least_one_5_up_down",0.58261528323722,30
"Bangladesh","regions","gfdl-esm4 ssp126","at_least_one_10_up_down",0.288405704609054,30
"Bangladesh","regions","gfdl-esm4 ssp126","at_least_one_25_up_down",0.0333019620335619,30
"Bangladesh","regions","gfdl-esm4 ssp126","at_least_two_5_down",0.173744215,30
"Bangladesh","regions","gfdl-esm4 ssp126","at_least_two_10_down",0.02478843,30
"Bangladesh","regions","gfdl-esm4 ssp126","at_least_two_25_down",0.00826281000000001,30
"Bangladesh","regions","gfdl-esm4 ssp126","at_least_three_5_down",0.0204515909999998,30
"Bangladesh","regions","gfdl-esm4 ssp126","at_least_three_10_down",-2.42861286636753e-17,30
"Bangladesh","regions","gfdl-esm4 ssp126","at_least_three_25_down",1.04083408558608e-17,30
"Bangladesh","regions","gfdl-esm4 ssp585","at_least_one_5_up_down",0.9559251792562,30
"Bangladesh","regions","gfdl-esm4 ssp585","at_least_one_10_up_down",0.752045729573,30
"Bangladesh","regions","gfdl-esm4 ssp585","at_least_one_25_up_down",0.468779401426028,30
"Bangladesh","regions","gfdl-esm4 ssp585","at_least_two_5_down",1,30
"Bangladesh","regions","gfdl-esm4 ssp585","at_least_two_10_down",0.9647449033168,30
"Bangladesh","regions","gfdl-esm4 ssp585","at_least_two_25_down",0.21401496,30
"Bangladesh","regions","gfdl-esm4 ssp585","at_least_three_5_down",0.9691512946336,30
"Bangladesh","regions","gfdl-esm4 ssp585","at_least_three_10_down",0.7605370065124,30
"Bangladesh","regions","gfdl-esm4 ssp585","at_least_three_25_down",0.0165256199999999,30
"Bangladesh","regions","ipsl-cm6a-lr ssp126","at_least_one_5_up_down",0.6528714596584,30
"Bangladesh","regions","ipsl-cm6a-lr ssp126","at_least_one_10_up_down",0.28347686604519,30
"Bangladesh","regions","ipsl-cm6a-lr ssp126","at_least_one_25_up_down",0,30
"Bangladesh","regions","ipsl-cm6a-lr ssp126","at_least_two_5_down",0.7355504144215,30
"Bangladesh","regions","ipsl-cm6a-lr ssp126","at_least_two_10_down",0.253072645,30
"Bangladesh","regions","ipsl-cm6a-lr ssp126","at_least_two_25_down",0.0247902479999999,30
"Bangladesh","regions","ipsl-cm6a-lr ssp126","at_least_three_5_down",0.2565620008705,30
"Bangladesh","regions","ipsl-cm6a-lr ssp126","at_least_three_10_down",0.0431747729999999,30
"Bangladesh","regions","ipsl-cm6a-lr ssp126","at_least_three_25_down",0.000826280999999932,30
"Bangladesh","regions","ipsl-cm6a-lr ssp585","at_least_one_5_up_down",0.427243636,30
"Bangladesh","regions","ipsl-cm6a-lr ssp585","at_least_one_10_up_down",0.344718358525435,30
"Bangladesh","regions","ipsl-cm6a-lr ssp585","at_least_one_25_up_down",0,30
"Bangladesh","regions","ipsl-cm6a-lr ssp585","at_least_two_5_down",0.9991738016281,30
"Bangladesh","regions","ipsl-cm6a-lr ssp585","at_least_two_10_down",0.963438436008965,30
"Bangladesh","regions","ipsl-cm6a-lr ssp585","at_least_two_25_down",0.885237648292,30
"Bangladesh","regions","ipsl-cm6a-lr ssp585","at_least_three_5_down",0.9827859226708,30
"Bangladesh","regions","ipsl-cm6a-lr ssp585","at_least_three_10_down",0.792615104761926,30
"Bangladesh","regions","ipsl-cm6a-lr ssp585","at_least_three_25_down",0.561565978292,30
"Barbados","regions","gfdl-esm4 ssp126","at_least_one_5_up_down",0,30
"Barbados","regions","gfdl-esm4 ssp126","at_least_one_10_up_down",0,30
"Barbados","regions","gfdl-esm4 ssp126","at_least_one_25_up_down",0,30
"Barbados","regions","gfdl-esm4 ssp126","at_least_two_5_down",1,30
"Barbados","regions","gfdl-esm4 ssp126","at_least_two_10_down",0.25,30
"Barbados","regions","gfdl-esm4 ssp126","at_least_two_25_down",0,30
"Barbados","regions","gfdl-esm4 ssp126","at_least_three_5_down",NA,30
"Barbados","regions","gfdl-esm4 ssp126","at_least_three_10_down",NA,30
"Barbados","regions","gfdl-esm4 ssp126","at_least_three_25_down",NA,30
"Barbados","regions","gfdl-esm4 ssp585","at_least_one_5_up_down",0,30
"Barbados","regions","gfdl-esm4 ssp585","at_least_one_10_up_down",0,30
"Barbados","regions","gfdl-esm4 ssp585","at_least_one_25_up_down",0,30
"Barbados","regions","gfdl-esm4 ssp585","at_least_two_5_down",1,30
"Barbados","regions","gfdl-esm4 ssp585","at_least_two_10_down",1,30
"Barbados","regions","gfdl-esm4 ssp585","at_least_two_25_down",0,30
"Barbados","regions","gfdl-esm4 ssp585","at_least_three_5_down",NA,30
"Barbados","regions","gfdl-esm4 ssp585","at_least_three_10_down",NA,30
"Barbados","regions","gfdl-esm4 ssp585","at_least_three_25_down",NA,30
"Barbados","regions","ipsl-cm6a-lr ssp126","at_least_one_5_up_down",0,30
"Barbados","regions","ipsl-cm6a-lr ssp126","at_least_one_10_up_down",0,30
"Barbados","regions","ipsl-cm6a-lr ssp126","at_least_one_25_up_down",0,30
"Barbados","regions","ipsl-cm6a-lr ssp126","at_least_two_5_down",0.6667,30
"Barbados","regions","ipsl-cm6a-lr ssp126","at_least_two_10_down",0.6667,30
"Barbados","regions","ipsl-cm6a-lr ssp126","at_least_two_25_down",0,30
"Barbados","regions","ipsl-cm6a-lr ssp126","at_least_three_5_down",NA,30
"Barbados","regions","ipsl-cm6a-lr ssp126","at_least_three_10_down",NA,30
"Barbados","regions","ipsl-cm6a-lr ssp126","at_least_three_25_down",NA,30
"Barbados","regions","ipsl-cm6a-lr ssp585","at_least_one_5_up_down",0.1667,30
"Barbados","regions","ipsl-cm6a-lr ssp585","at_least_one_10_up_down",0.1667,30
"Barbados","regions","ipsl-cm6a-lr ssp585","at_least_one_25_up_down",0,30
"Barbados","regions","ipsl-cm6a-lr ssp585","at_least_two_5_down",0.6667,30
"Barbados","regions","ipsl-cm6a-lr ssp585","at_least_two_10_down",0,30
"Barbados","regions","ipsl-cm6a-lr ssp585","at_least_two_25_down",0,30
"Barbados","regions","ipsl-cm6a-lr ssp585","at_least_three_5_down",NA,30
"Barbados","regions","ipsl-cm6a-lr ssp585","at_least_three_10_down",NA,30
"Barbados","regions","ipsl-cm6a-lr ssp585","at_least_three_25_down",NA,30
"Bassas da India","regions","gfdl-esm4 ssp126","at_least_one_5_up_down",0,30
"Bassas da India","regions","gfdl-esm4 ssp126","at_least_one_10_up_down",0,30
"Bassas da India","regions","gfdl-esm4 ssp126","at_least_one_25_up_down",0,30
"Bassas da India","regions","gfdl-esm4 ssp126","at_least_two_5_down",NA,30
"Bassas da India","regions","gfdl-esm4 ssp126","at_least_two_10_down",NA,30
"Bassas da India","regions","gfdl-esm4 ssp126","at_least_two_25_down",NA,30
"Bassas da India","regions","gfdl-esm4 ssp126","at_least_three_5_down",NA,30
"Bassas da India","regions","gfdl-esm4 ssp126","at_least_three_10_down",NA,30
"Bassas da India","regions","gfdl-esm4 ssp126","at_least_three_25_down",NA,30
"Bassas da India","regions","gfdl-esm4 ssp585","at_least_one_5_up_down",0,30
"Bassas da India","regions","gfdl-esm4 ssp585","at_least_one_10_up_down",0,30
"Bassas da India","regions","gfdl-esm4 ssp585","at_least_one_25_up_down",0,30
"Bassas da India","regions","gfdl-esm4 ssp585","at_least_two_5_down",NA,30
"Bassas da India","regions","gfdl-esm4 ssp585","at_least_two_10_down",NA,30
"Bassas da India","regions","gfdl-esm4 ssp585","at_least_two_25_down",NA,30
"Bassas da India","regions","gfdl-esm4 ssp585","at_least_three_5_down",NA,30
"Bassas da India","regions","gfdl-esm4 ssp585","at_least_three_10_down",NA,30
"Bassas da India","regions","gfdl-esm4 ssp585","at_least_three_25_down",NA,30
"Bassas da India","regions","ipsl-cm6a-lr ssp126","at_least_one_5_up_down",0,30
"Bassas da India","regions","ipsl-cm6a-lr ssp126","at_least_one_10_up_down",0,30
"Bassas da India","regions","ipsl-cm6a-lr ssp126","at_least_one_25_up_down",0,30
"Bassas da India","regions","ipsl-cm6a-lr ssp126","at_least_two_5_down",NA,30
"Bassas da India","regions","ipsl-cm6a-lr ssp126","at_least_two_10_down",NA,30
"Bassas da India","regions","ipsl-cm6a-lr ssp126","at_least_two_25_down",NA,30
"Bassas da India","regions","ipsl-cm6a-lr ssp126","at_least_three_5_down",NA,30
"Bassas da India","regions","ipsl-cm6a-lr ssp126","at_least_three_10_down",NA,30
"Bassas da India","regions","ipsl-cm6a-lr ssp126","at_least_three_25_down",NA,30
"Bassas da India","regions","ipsl-cm6a-lr ssp585","at_least_one_5_up_down",0.02778889,30
"Bassas da India","regions","ipsl-cm6a-lr ssp585","at_least_one_10_up_down",0,30
"Bassas da India","regions","ipsl-cm6a-lr ssp585","at_least_one_25_up_down",0,30
"Bassas da India","regions","ipsl-cm6a-lr ssp585","at_least_two_5_down",NA,30
"Bassas da India","regions","ipsl-cm6a-lr ssp585","at_least_two_10_down",NA,30
"Bassas da India","regions","ipsl-cm6a-lr ssp585","at_least_two_25_down",NA,30
"Bassas da India","regions","ipsl-cm6a-lr ssp585","at_least_three_5_down",NA,30
"Bassas da India","regions","ipsl-cm6a-lr ssp585","at_least_three_10_down",NA,30
"Bassas da India","regions","ipsl-cm6a-lr ssp585","at_least_three_25_down",NA,30
"Belarus","regions","gfdl-esm4 ssp126","at_least_one_5_up_down",0.173122686,30
"Belarus","regions","gfdl-esm4 ssp126","at_least_one_10_up_down",0,30
"Belarus","regions","gfdl-esm4 ssp126","at_least_one_25_up_down",0,30
"Belarus","regions","gfdl-esm4 ssp126","at_least_two_5_down",-2.77555756156289e-17,30
"Belarus","regions","gfdl-esm4 ssp126","at_least_two_10_down",0,30
"Belarus","regions","gfdl-esm4 ssp126","at_least_two_25_down",0,30
"Belarus","regions","gfdl-esm4 ssp126","at_least_three_5_down",-2.77555756156289e-17,30
"Belarus","regions","gfdl-esm4 ssp126","at_least_three_10_down",0,30
"Belarus","regions","gfdl-esm4 ssp126","at_least_three_25_down",0,30
"Belarus","regions","gfdl-esm4 ssp585","at_least_one_5_up_down",0.9045375,30
"Belarus","regions","gfdl-esm4 ssp585","at_least_one_10_up_down",0.732738424071875,30
"Belarus","regions","gfdl-esm4 ssp585","at_least_one_25_up_down",0,30
"Belarus","regions","gfdl-esm4 ssp585","at_least_two_5_down",0.501109375,30
"Belarus","regions","gfdl-esm4 ssp585","at_least_two_10_down",0.29544125,30
"Belarus","regions","gfdl-esm4 ssp585","at_least_two_25_down",0,30
"Belarus","regions","gfdl-esm4 ssp585","at_least_three_5_down",0.11533125,30
"Belarus","regions","gfdl-esm4 ssp585","at_least_three_10_down",0.0534049999999999,30
"Belarus","regions","gfdl-esm4 ssp585","at_least_three_25_down",0,30
"Belarus","regions","ipsl-cm6a-lr ssp126","at_least_one_5_up_down",0.7159125,30
"Belarus","regions","ipsl-cm6a-lr ssp126","at_least_one_10_up_down",0.2421774,30
"Belarus","regions","ipsl-cm6a-lr ssp126","at_least_one_25_up_down",0.017271,30
"Belarus","regions","ipsl-cm6a-lr ssp126","at_least_two_5_down",0.6659175,30
"Belarus","regions","ipsl-cm6a-lr ssp126","at_least_two_10_down",0.24998875,30
"Belarus","regions","ipsl-cm6a-lr ssp126","at_least_two_25_down",-1.38777878078145e-17,30
"Belarus","regions","ipsl-cm6a-lr ssp126","at_least_three_5_down",0.24205,30
"Belarus","regions","ipsl-cm6a-lr ssp126","at_least_three_10_down",0.0465874999999999,30
"Belarus","regions","ipsl-cm6a-lr ssp126","at_least_three_25_down",-1.38777878078145e-17,30
"Belarus","regions","ipsl-cm6a-lr ssp585","at_least_one_5_up_down",0.5176366,30
"Belarus","regions","ipsl-cm6a-lr ssp585","at_least_one_10_up_down",0.50759215,30
"Belarus","regions","ipsl-cm6a-lr ssp585","at_least_one_25_up_down",0.2758276,30
"Belarus","regions","ipsl-cm6a-lr ssp585","at_least_two_5_down",0.9454575,30
"Belarus","regions","ipsl-cm6a-lr ssp585","at_least_two_10_down",0.80443825,30
"Belarus","regions","ipsl-cm6a-lr ssp585","at_least_two_25_down",0.20001,30
"Belarus","regions","ipsl-cm6a-lr ssp585","at_least_three_5_down",0.7465975,30
"Belarus","regions","ipsl-cm6a-lr ssp585","at_least_three_10_down",0.45205175,30
"Belarus","regions","ipsl-cm6a-lr ssp585","at_least_three_25_down",0.0159099999999999,30
"Belgium","regions","gfdl-esm4 ssp126","at_least_one_5_up_down",0.5896935454,30
"Belgium","regions","gfdl-esm4 ssp126","at_least_one_10_up_down",0.1666625,30
"Belgium","regions","gfdl-esm4 ssp126","at_least_one_25_up_down",0,30
"Belgium","regions","gfdl-esm4 ssp126","at_least_two_5_down",0.1409,30
"Belgium","regions","gfdl-esm4 ssp126","at_least_two_10_down",0,30
"Belgium","regions","gfdl-esm4 ssp126","at_least_two_25_down",0,30
"Belgium","regions","gfdl-esm4 ssp126","at_least_three_5_down",0.00908999999999999,30
"Belgium","regions","gfdl-esm4 ssp126","at_least_three_10_down",0,30
"Belgium","regions","gfdl-esm4 ssp126","at_least_three_25_down",0,30
"Belgium","regions","gfdl-esm4 ssp585","at_least_one_5_up_down",0.772732727,30
"Belgium","regions","gfdl-esm4 ssp585","at_least_one_10_up_down",0.614092341625,30
"Belgium","regions","gfdl-esm4 ssp585","at_least_one_25_up_down",0.159988,30
"Belgium","regions","gfdl-esm4 ssp585","at_least_two_5_down",0.75078969625,30
"Belgium","regions","gfdl-esm4 ssp585","at_least_two_10_down",0.47499068125,30
"Belgium","regions","gfdl-esm4 ssp585","at_least_two_25_down",0.0333299999999999,30
"Belgium","regions","gfdl-esm4 ssp585","at_least_three_5_down",0.31821803125,30
"Belgium","regions","gfdl-esm4 ssp585","at_least_three_10_down",0.11135916625,30
"Belgium","regions","gfdl-esm4 ssp585","at_least_three_25_down",-8.32667268468867e-17,30
"Belgium","regions","ipsl-cm6a-lr ssp126","at_least_one_5_up_down",0.4713736232,30
"Belgium","regions","ipsl-cm6a-lr ssp126","at_least_one_10_up_down",0.05454,30
"Belgium","regions","ipsl-cm6a-lr ssp126","at_least_one_25_up_down",0,30
"Belgium","regions","ipsl-cm6a-lr ssp126","at_least_two_5_down",0.147266,30
"Belgium","regions","ipsl-cm6a-lr ssp126","at_least_two_10_down",0,30
"Belgium","regions","ipsl-cm6a-lr ssp126","at_least_two_25_down",0,30
"Belgium","regions","ipsl-cm6a-lr ssp126","at_least_three_5_down",0.00727199999999989,30
"Belgium","regions","ipsl-cm6a-lr ssp126","at_least_three_10_down",0,30
"Belgium","regions","ipsl-cm6a-lr ssp126","at_least_three_25_down",0,30
"Belgium","regions","ipsl-cm6a-lr ssp585","at_least_one_5_up_down",0.50865568,30
"Belgium","regions","ipsl-cm6a-lr ssp585","at_least_one_10_up_down",0.354178,30
"Belgium","regions","ipsl-cm6a-lr ssp585","at_least_one_25_up_down",0.0836352,30
"Belgium","regions","ipsl-cm6a-lr ssp585","at_least_two_5_down",0.827284,30
"Belgium","regions","ipsl-cm6a-lr ssp585","at_least_two_10_down",0.5308875,30
"Belgium","regions","ipsl-cm6a-lr ssp585","at_least_two_25_down",0.069088,30
"Belgium","regions","ipsl-cm6a-lr ssp585","at_least_three_5_down",0.46638,30
"Belgium","regions","ipsl-cm6a-lr ssp585","at_least_three_10_down",0.167715,30
"Belgium","regions","ipsl-cm6a-lr ssp585","at_least_three_25_down",0.00363599999999997,30
"Belize","regions","gfdl-esm4 ssp126","at_least_one_5_up_down",0.7778,30
"Belize","regions","gfdl-esm4 ssp126","at_least_one_10_up_down",0.089772625,30
"Belize","regions","gfdl-esm4 ssp126","at_least_one_25_up_down",0,30
"Belize","regions","gfdl-esm4 ssp126","at_least_two_5_down",1,30
"Belize","regions","gfdl-esm4 ssp126","at_least_two_10_down",0.46704125,30
"Belize","regions","gfdl-esm4 ssp126","at_least_two_25_down",0.00908999999999993,30
"Belize","regions","gfdl-esm4 ssp126","at_least_three_5_down",0.26362,30
"Belize","regions","gfdl-esm4 ssp126","at_least_three_10_down",0.0727237499999999,30
"Belize","regions","gfdl-esm4 ssp126","at_least_three_25_down",-6.76542155630955e-17,30
"Belize","regions","gfdl-esm4 ssp585","at_least_one_5_up_down",0.73336,30
"Belize","regions","gfdl-esm4 ssp585","at_least_one_10_up_down",0.68892,30
"Belize","regions","gfdl-esm4 ssp585","at_least_one_25_up_down",0.37734385868788,30
"Belize","regions","gfdl-esm4 ssp585","at_least_two_5_down",1,30
"Belize","regions","gfdl-esm4 ssp585","at_least_two_10_down",1,30
"Belize","regions","gfdl-esm4 ssp585","at_least_two_25_down",0.663618813,30
"Belize","regions","gfdl-esm4 ssp585","at_least_three_5_down",0.830317879,30
"Belize","regions","gfdl-esm4 ssp585","at_least_three_10_down",0.806077576,30
"Belize","regions","gfdl-esm4 ssp585","at_least_three_25_down",0.265889899,30
"Belize","regions","ipsl-cm6a-lr ssp126","at_least_one_5_up_down",0.7878660605,30
"Belize","regions","ipsl-cm6a-lr ssp126","at_least_one_10_up_down",0.45554,30
"Belize","regions","ipsl-cm6a-lr ssp126","at_least_one_25_up_down",0,30
"Belize","regions","ipsl-cm6a-lr ssp126","at_least_two_5_down",0.61208404,30
"Belize","regions","ipsl-cm6a-lr ssp126","at_least_two_10_down",0.26362,30
"Belize","regions","ipsl-cm6a-lr ssp126","at_least_two_25_down",0.13863,30
"Belize","regions","ipsl-cm6a-lr ssp126","at_least_three_5_down",0.14341697,30
"Belize","regions","ipsl-cm6a-lr ssp126","at_least_three_10_down",0.01818,30
"Belize","regions","ipsl-cm6a-lr ssp126","at_least_three_25_down",0.00681749999999992,30
"Belize","regions","ipsl-cm6a-lr ssp585","at_least_one_5_up_down",0.599995,30
"Belize","regions","ipsl-cm6a-lr ssp585","at_least_one_10_up_down",0.599995,30
"Belize","regions","ipsl-cm6a-lr ssp585","at_least_one_25_up_down",0,30
"Belize","regions","ipsl-cm6a-lr ssp585","at_least_two_5_down",0.9949507069798,30
"Belize","regions","ipsl-cm6a-lr ssp585","at_least_two_10_down",0.9848521209394,30
"Belize","regions","ipsl-cm6a-lr ssp585","at_least_two_25_down",0.903035152,30
"Belize","regions","ipsl-cm6a-lr ssp585","at_least_three_5_down",0.9139856393266,30
"Belize","regions","ipsl-cm6a-lr ssp585","at_least_three_10_down",0.8480026759798,30
"Belize","regions","ipsl-cm6a-lr ssp585","at_least_three_25_down",0.539397576,30
"Benin","regions","gfdl-esm4 ssp126","at_least_one_5_up_down",0.96111,30
"Benin","regions","gfdl-esm4 ssp126","at_least_one_10_up_down",0.3,30
"Benin","regions","gfdl-esm4 ssp126","at_least_one_25_up_down",0,30
"Benin","regions","gfdl-esm4 ssp126","at_least_two_5_down",0.50905,30
