"spatial_scale","regions","climates","type","probas","time_window"
"regions","Afghanistan","gfdl-esm4 ssp126","at_least_one_change_5",0.9955936086832,30
"regions","Afghanistan","gfdl-esm4 ssp126","at_least_two_change_5",0.9375692924224,30
"regions","Afghanistan","gfdl-esm4 ssp126","at_least_three_change_5",0.6727574291056,30
"regions","Afghanistan","gfdl-esm4 ssp126","at_least_one_change_10",0.9529984926208,30
"regions","Afghanistan","gfdl-esm4 ssp126","at_least_two_change_10",0.7179545259136,30
"regions","Afghanistan","gfdl-esm4 ssp126","at_least_three_change_10",0.3124428303104,30
"regions","Afghanistan","gfdl-esm4 ssp126","at_least_one_change_25",0.639992376584,30
"regions","Afghanistan","gfdl-esm4 ssp126","at_least_two_change_25",0.196475666832,30
"regions","Afghanistan","gfdl-esm4 ssp126","at_least_three_change_25",0.0220319565839998,30
"regions","Afghanistan","gfdl-esm4 ssp585","at_least_one_change_5",1,30
"regions","Afghanistan","gfdl-esm4 ssp585","at_least_two_change_5",1,30
"regions","Afghanistan","gfdl-esm4 ssp585","at_least_three_change_5",1,30
"regions","Afghanistan","gfdl-esm4 ssp585","at_least_one_change_10",1,30
"regions","Afghanistan","gfdl-esm4 ssp585","at_least_two_change_10",0.975762424,30
"regions","Afghanistan","gfdl-esm4 ssp585","at_least_three_change_10",0.765679192,30
"regions","Afghanistan","gfdl-esm4 ssp585","at_least_one_change_25",0.977964738292,30
"regions","Afghanistan","gfdl-esm4 ssp585","at_least_two_change_25",0.714615923989,30
"regions","Afghanistan","gfdl-esm4 ssp585","at_least_three_change_25",0.262261707146,30
"regions","Afghanistan","ipsl-cm6a-lr ssp126","at_least_one_change_5",0.9992656014472,30
"regions","Afghanistan","ipsl-cm6a-lr ssp126","at_least_two_change_5",0.9831072908944,30
"regions","Afghanistan","ipsl-cm6a-lr ssp126","at_least_three_change_5",0.8598890538696,30
"regions","Afghanistan","ipsl-cm6a-lr ssp126","at_least_one_change_10",0.9647488694656,30
"regions","Afghanistan","ipsl-cm6a-lr ssp126","at_least_two_change_10",0.7561491264352,30
"regions","Afghanistan","ipsl-cm6a-lr ssp126","at_least_three_change_10",0.3469696987328,30
"regions","Afghanistan","ipsl-cm6a-lr ssp126","at_least_one_change_25",0.485725802764,30
"regions","Afghanistan","ipsl-cm6a-lr ssp126","at_least_two_change_25",0.0762022044719998,30
"regions","Afghanistan","ipsl-cm6a-lr ssp126","at_least_three_change_25",0.00367199276399982,30
"regions","Afghanistan","ipsl-cm6a-lr ssp585","at_least_one_change_5",1,30
"regions","Afghanistan","ipsl-cm6a-lr ssp585","at_least_two_change_5",1,30
"regions","Afghanistan","ipsl-cm6a-lr ssp585","at_least_three_change_5",1,30
