"regions","climates","at_least_one_shock","at_least_two_shocks","at_least_three_shocks","time_window"
123,"gfdl-esm4 ssp585",1,0.590233129609001,0.013220496,30
123,"ipsl-cm6a-lr ssp126",1,0.0842541407501518,1.11022302462516e-16,30
123,"ipsl-cm6a-lr ssp585",1,0.904699351664,0.23139504,30
124,"gfdl-esm4 ssp126",1,0.169929264394945,-2.22044604925031e-16,30
124,"gfdl-esm4 ssp585",1,0.163975220251077,0,30
124,"ipsl-cm6a-lr ssp126",0.993350023233626,0.0660518821606262,0.0013774104269999,30
124,"ipsl-cm6a-lr ssp585",0.999403683858783,0.425001525128413,0.0181836359999993,30
127,"gfdl-esm4 ssp126",1,0.530451226745803,0.061971075,30
127,"gfdl-esm4 ssp585",0.999929041987656,0.819365090233939,0.19848406941137,30
127,"ipsl-cm6a-lr ssp126",1,0.487366091875127,0.00550798914599948,30
127,"ipsl-cm6a-lr ssp585",1,0.705730143289127,0.0564929012676241,30
128,"gfdl-esm4 ssp126",0.997615631560894,0.270035372803407,0.00991719000000002,30
128,"gfdl-esm4 ssp585",0.998573396195034,0.286801819136494,0.00206570249999993,30
128,"ipsl-cm6a-lr ssp126",0.996266206925545,0.100609286551837,0,30
128,"ipsl-cm6a-lr ssp585",0.994336219975832,0.274953927689285,0.00605202742727207,30
130,"gfdl-esm4 ssp126",1,0.523175817157744,0,30
130,"gfdl-esm4 ssp585",0.998275118310855,0.462183622844847,0.0181799999999998,30
130,"ipsl-cm6a-lr ssp126",1,0.60224635522708,0.0232988593284966,30
130,"ipsl-cm6a-lr ssp585",1,0.708895580637097,0.054534546,30
132,"gfdl-esm4 ssp126",0.996389822916715,0.229395329344952,1.11022302462516e-16,30
132,"gfdl-esm4 ssp585",0.999975291550896,0.343540663327236,0.00330512400000005,30
132,"ipsl-cm6a-lr ssp126",1,0.259939857425139,0,30
132,"ipsl-cm6a-lr ssp585",1,0.782570598989612,0.142093113962353,30
135,"gfdl-esm4 ssp126",0.999667002277356,0.54233569064995,0.0172904543738134,30
135,"gfdl-esm4 ssp585",0.999967780839116,0.718072749037098,0.127750454138062,30
135,"ipsl-cm6a-lr ssp126",0.999852895128718,0.331771986822192,0.0247979335949998,30
135,"ipsl-cm6a-lr ssp585",0.999616328794624,0.446985706787757,0.0121224239999997,30
136,"gfdl-esm4 ssp126",1,0.246119914113962,0,30
136,"gfdl-esm4 ssp585",1,0.581730682662285,-2.22044604925031e-16,30
136,"ipsl-cm6a-lr ssp126",0.95716271360858,0.0477096558993234,0,30
136,"ipsl-cm6a-lr ssp585",1,0.642165503279744,0.00826280999999995,30
137,"gfdl-esm4 ssp126",1,0.268555044548689,0,30
137,"gfdl-esm4 ssp585",1,0.280491956613553,0,30
137,"ipsl-cm6a-lr ssp126",0.979218470556408,0.0839771238414218,-2.22044604925031e-16,30
137,"ipsl-cm6a-lr ssp585",0.999592078487895,0.5438180531854,0.0661079885399996,30
140,"gfdl-esm4 ssp126",0.996176978802053,0.237827416806822,0.00908999999999982,30
140,"gfdl-esm4 ssp585",0.999888858615502,0.588521714863813,0.029623222747627,30
140,"ipsl-cm6a-lr ssp126",0.999841733844322,0.343475137302152,-2.22044604925031e-16,30
140,"ipsl-cm6a-lr ssp585",0.999814476793205,0.319699940486579,0.00495768599999991,30
141,"gfdl-esm4 ssp126",1,0.0888342974999999,0,30
141,"gfdl-esm4 ssp585",0.996964125702504,0.410908,0,30
141,"ipsl-cm6a-lr ssp126",1,0.0916484008397154,0,30
141,"ipsl-cm6a-lr ssp585",1,0.359617046423446,0.00909181800000003,30
145,"gfdl-esm4 ssp126",1,0.321745721709108,0,30
