"regions","climates","at_least_one_shock","at_least_two_shocks","at_least_three_shocks","time_window"
"Abu musa, Greater and Lesser Tunb","gfdl-esm4 ssp126",0.90625,0,0,30
"Abu musa, Greater and Lesser Tunb","gfdl-esm4 ssp585",0.9375,0,0,30
"Abu musa, Greater and Lesser Tunb","ipsl-cm6a-lr ssp126",0.375025,0,0,30
"Abu musa, Greater and Lesser Tunb","ipsl-cm6a-lr ssp585",0.75,0,0,30
"Afghanistan","gfdl-esm4 ssp126",1,0.593586914156304,0.0603854433341824,30
"Afghanistan","gfdl-esm4 ssp585",0.987805398535534,0.382876206676993,0.0226800562318149,30
"Afghanistan","ipsl-cm6a-lr ssp126",0.995031972441171,0.243090547188471,0.00918060433097323,30
"Afghanistan","ipsl-cm6a-lr ssp585",0.998938137735286,0.434365941117133,0.0291737788385608,30
"Alaska","gfdl-esm4 ssp126",0.982421875,0,0,30
"Alaska","gfdl-esm4 ssp585",0.940673828125,0.125,0,30
"Alaska","ipsl-cm6a-lr ssp126",1,0.5,0,30
"Alaska","ipsl-cm6a-lr ssp585",1,0,0,30
"Albania","gfdl-esm4 ssp126",0.999830971468987,0.70845385539249,0.13236764427332,30
"Albania","gfdl-esm4 ssp585",0.999986899974752,0.876816907942574,0.231311023173916,30
"Albania","ipsl-cm6a-lr ssp126",0.999191956812133,0.385101114065759,0.0351734780707929,30
"Albania","ipsl-cm6a-lr ssp585",0.999998979319939,0.865786303300789,0.231493836120746,30
"Algeria","gfdl-esm4 ssp126",0.999916879874217,0.725682941388598,0.133681447669998,30
"Algeria","gfdl-esm4 ssp585",0.99334965840708,0.219077150325312,-2.22044604925031e-16,30
"Algeria","ipsl-cm6a-lr ssp126",0.985311822947437,0.114058642865922,0,30
"Algeria","ipsl-cm6a-lr ssp585",0.999940654914965,0.500657811019161,0.033052892562,30
"Alhucemas Islands","gfdl-esm4 ssp126",0.987423214380699,0.022725,0,30
"Alhucemas Islands","gfdl-esm4 ssp585",0.974017024580707,0.06714214875,0,30
"Alhucemas Islands","ipsl-cm6a-lr ssp126",1,0.4545,0,30
"Alhucemas Islands","ipsl-cm6a-lr ssp585",0.997089735036605,0.27537792760578,0,30
"American Samoa","gfdl-esm4 ssp126",1,0,0,30
"American Samoa","gfdl-esm4 ssp585",0.859375,0,0,30
"American Samoa","ipsl-cm6a-lr ssp126",1,0.249975,0,30
"American Samoa","ipsl-cm6a-lr ssp585",1,0.2361097225,0,30
"Amsterdam and Saint Paul Islands","gfdl-esm4 ssp126",0.71875,0,0,30
"Amsterdam and Saint Paul Islands","gfdl-esm4 ssp585",0.95550537109375,0,0,30
"Amsterdam and Saint Paul Islands","ipsl-cm6a-lr ssp126",0.25,0,0,30
"Amsterdam and Saint Paul Islands","ipsl-cm6a-lr ssp585",0.499975,0,0,30
"Andaman and Nicobar","gfdl-esm4 ssp126",1,0.0625,0,30
"Andaman and Nicobar","gfdl-esm4 ssp585",1,0,0,30
"Andaman and Nicobar","ipsl-cm6a-lr ssp126",0.980471484296875,0,0,30
"Andaman and Nicobar","ipsl-cm6a-lr ssp585",1,0,0,30
"Andorra","gfdl-esm4 ssp126",0.99590146824075,0.247172869100357,0.00075108942900004,30
"Andorra","gfdl-esm4 ssp585",0.992518571259554,0.34191617621607,0.0209313517830039,30
"Andorra","ipsl-cm6a-lr ssp126",1,0.206016097411905,0,30
"Andorra","ipsl-cm6a-lr ssp585",0.999409176714632,0.359323023542277,0.0045065365739998,30
"Angola","gfdl-esm4 ssp126",0.999865683921402,0.369546528014945,0.00899490155428084,30
"Angola","gfdl-esm4 ssp585",0.998717639573913,0.374505962882805,-2.22044604925031e-16,30
"Angola","ipsl-cm6a-lr ssp126",0.999034840952016,0.239534890602061,0.00450202349135709,30
"Angola","ipsl-cm6a-lr ssp585",1,0.333751215647613,0.0164573459709038,30
"Anguilla","gfdl-esm4 ssp126",1,0,0,30
"Anguilla","gfdl-esm4 ssp585",1,0.5625,0,30
"Anguilla","ipsl-cm6a-lr ssp126",1,0,0,30
"Anguilla","ipsl-cm6a-lr ssp585",0.995762337525262,0,0,30
"Antarctica","gfdl-esm4 ssp126",0.7626953125,0,0,30
"Antarctica","gfdl-esm4 ssp585",0,0,0,30
"Antarctica","ipsl-cm6a-lr ssp126",0.936487705469225,0,0,30
"Antarctica","ipsl-cm6a-lr ssp585",0.537050927037,0,0,30
"Antigua and Barbuda","gfdl-esm4 ssp126",1,0.25,0,30
"Antigua and Barbuda","gfdl-esm4 ssp585",1,0,0,30
"Antigua and Barbuda","ipsl-cm6a-lr ssp126",1,0.166675,0,30
"Antigua and Barbuda","ipsl-cm6a-lr ssp585",1,0,0,30
"Argentina","gfdl-esm4 ssp126",1,0.971665873401318,0.496503200266366,30
"Argentina","gfdl-esm4 ssp585",1,0.722813179029266,0.190355064225666,30
"Argentina","ipsl-cm6a-lr ssp126",0.999999259192274,0.96003253331271,0.511304651507283,30
"Argentina","ipsl-cm6a-lr ssp585",1,0.790834101262302,0.140839474163218,30
"Armenia","gfdl-esm4 ssp126",0.997312407505259,0.278559629163137,0.00972812057493266,30
"Armenia","gfdl-esm4 ssp585",0.997982539024081,0.344212911810791,0.0110348465039124,30
"Armenia","ipsl-cm6a-lr ssp126",0.996701376711954,0.347130907486583,0.0101043128233597,30
"Armenia","ipsl-cm6a-lr ssp585",1,0.902890951441419,0.233904949498297,30
"Aruba","gfdl-esm4 ssp126",1,0.34375,0,30
"Aruba","gfdl-esm4 ssp585",0.8125,0,0,30
"Aruba","ipsl-cm6a-lr ssp126",1,0,0,30
"Aruba","ipsl-cm6a-lr ssp585",0.65278819527775,0,0,30
"Ascension","gfdl-esm4 ssp126",0.9375,0,0,30
"Ascension","gfdl-esm4 ssp585",0.71875,0,0,30
"Ascension","ipsl-cm6a-lr ssp126",0.75,0,0,30
"Ascension","ipsl-cm6a-lr ssp585",0.5,0,0,30
"Australia","gfdl-esm4 ssp126",1,0.995872222389647,0.740170744092999,30
"Australia","gfdl-esm4 ssp585",1,0.788175596439644,0.14311656526334,30
"Australia","ipsl-cm6a-lr ssp126",0.999778507549848,0.770991347953313,0.224141483328859,30
"Australia","ipsl-cm6a-lr ssp585",0.999966160291837,0.752906890927502,0.171222747090347,30
"Austria","gfdl-esm4 ssp126",1,0.514606362958725,0.0627948010406051,30
"Austria","gfdl-esm4 ssp585",1,0.35045422395598,0.0187405420062423,30
"Austria","ipsl-cm6a-lr ssp126",1,0.485003172245435,0.0323264329495619,30
"Austria","ipsl-cm6a-lr ssp585",1,0.147191638640461,0.00600871543199988,30
"Azerbaijan","gfdl-esm4 ssp126",0.997151748322761,0.323702396669629,0.00824505965908906,30
"Azerbaijan","gfdl-esm4 ssp585",0.998464155917129,0.411638018781446,0.0180697046396606,30
"Azerbaijan","ipsl-cm6a-lr ssp126",0.999782170851656,0.565586325244218,0.0303750514875296,30
"Azerbaijan","ipsl-cm6a-lr ssp585",1,0.861076980025042,0.207074724497336,30
"Azores","gfdl-esm4 ssp126",1,0.0625,0,30
"Azores","gfdl-esm4 ssp585",1,0.25,0,30
"Azores","ipsl-cm6a-lr ssp126",1,0,0,30
"Azores","ipsl-cm6a-lr ssp585",0.841796875,0,0,30
"Bahamas","gfdl-esm4 ssp126",1,0.372078316680993,0.0247884299999996,30
"Bahamas","gfdl-esm4 ssp585",1,0.327889960042159,-2.22044604925031e-16,30
"Bahamas","ipsl-cm6a-lr ssp126",1,0.156966713961692,0,30
"Bahamas","ipsl-cm6a-lr ssp585",0.988644841849671,0.168225462846789,0,30
"Bahrain","gfdl-esm4 ssp126",0.68359375,0,0,30
"Bahrain","gfdl-esm4 ssp585",1,0,0,30
"Bahrain","ipsl-cm6a-lr ssp126",0.918629556901047,0.0416749999999999,0,30
"Bahrain","ipsl-cm6a-lr ssp585",1,0.3610847225,0,30
"Bajo Nuevo Bank","gfdl-esm4 ssp126",0.4375,0,0,30
"Bajo Nuevo Bank","gfdl-esm4 ssp585",0.578125,0,0,30
"Bajo Nuevo Bank","ipsl-cm6a-lr ssp126",0.98006682085986,0,0,30
"Bajo Nuevo Bank","ipsl-cm6a-lr ssp585",0.985651268172052,0,0,30
"Bangladesh","gfdl-esm4 ssp126",1,0.921621770299735,0.46782777787072,30
"Bangladesh","gfdl-esm4 ssp585",0.999169873595058,0.456849005901259,0.0410872936164546,30
"Bangladesh","ipsl-cm6a-lr ssp126",1,0.902912284827903,0.178215544072075,30
"Bangladesh","ipsl-cm6a-lr ssp585",1,0.958744416898673,0.43919589646438,30
"Barbados","gfdl-esm4 ssp126",0.9967041015625,0.25,0,30
"Barbados","gfdl-esm4 ssp585",0.875,0,0,30
"Barbados","ipsl-cm6a-lr ssp126",0.997320333956782,0.2361097225,0,30
"Barbados","ipsl-cm6a-lr ssp585",0.678533307098693,0,0,30
"Bassas da India","gfdl-esm4 ssp126",0.96484375,0,0,30
"Bassas da India","gfdl-esm4 ssp585",0,0,0,30
"Bassas da India","ipsl-cm6a-lr ssp126",0.722219445,0,0,30
"Bassas da India","ipsl-cm6a-lr ssp585",0.598202797068158,0,0,30
"Belarus","gfdl-esm4 ssp126",0.999471417818803,0.669624774106638,0.088886485397143,30
"Belarus","gfdl-esm4 ssp585",0.995992917518254,0.322793525923359,0.0294289984952678,30
"Belarus","ipsl-cm6a-lr ssp126",0.999028695077811,0.691188488619295,0.166072477197542,30
"Belarus","ipsl-cm6a-lr ssp585",0.998723520499376,0.237714656102474,0.00300435771599983,30
"Belgium","gfdl-esm4 ssp126",0.99685667012289,0.203355577056996,0.00413140499999975,30
"Belgium","gfdl-esm4 ssp585",0.999762098040603,0.355690135599402,0,30
"Belgium","ipsl-cm6a-lr ssp126",1,0.0314282367843712,0,30
"Belgium","ipsl-cm6a-lr ssp585",1,0.284775607991028,0,30
"Belize","gfdl-esm4 ssp126",1,0.809539787289902,0.204676479645208,30
"Belize","gfdl-esm4 ssp585",0.997050283537211,0.456689777308417,0.0312535992819347,30
"Belize","ipsl-cm6a-lr ssp126",0.999922712125494,0.918115782186065,0.498074150052648,30
"Belize","ipsl-cm6a-lr ssp585",1,0.93009962270389,0.429231760658059,30
"Benin","gfdl-esm4 ssp126",0.994284287039479,0.21430820835423,0.00899490155428129,30
"Benin","gfdl-esm4 ssp585",1,0.750508229300435,0.0940459739025225,30
"Benin","ipsl-cm6a-lr ssp126",1,0.520182706375967,0.0455160405216191,30
"Benin","ipsl-cm6a-lr ssp585",1,0.57168578691013,0.0579055980489517,30
