"regions","climates","spans","at_least_one_shock","at_least_two_shocks","at_least_three_shocks","time_window"
"Bahrain","gfdl-esm4 ssp126","shock_0.25",0.838,0,NA,30
"Bahrain","gfdl-esm4 ssp585","shock_0.25",1,0,NA,30
"Bahrain","ipsl-cm6a-lr ssp126","shock_0.25",0.933335333493328,0.10002,NA,30
"Bahrain","ipsl-cm6a-lr ssp585","shock_0.25",0.999808668268247,0.26664,NA,30
"Bangladesh","gfdl-esm4 ssp126","shock_0.25",1,0.97340100247852,0.672596326410538,30
"Bangladesh","gfdl-esm4 ssp585","shock_0.25",0.999843640442538,0.568694016743964,0.0633755962060446,30
"Bangladesh","ipsl-cm6a-lr ssp126","shock_0.25",1,0.882334438248714,0.0682209697029591,30
"Bangladesh","ipsl-cm6a-lr ssp585","shock_0.25",1,0.964285488704647,0.54359967428863,30
"Barbados","gfdl-esm4 ssp126","shock_0.25",1,0.5,NA,30
"Barbados","gfdl-esm4 ssp585","shock_0.25",0.875,0,NA,30
"Barbados","ipsl-cm6a-lr ssp126","shock_0.25",0.995866242622565,0.19795416625,NA,30
"Barbados","ipsl-cm6a-lr ssp585","shock_0.25",0.832591195398448,0,NA,30
"Belarus","gfdl-esm4 ssp126","shock_0.25",1,0.773159136625307,0.163678629372924,30
"Belarus","gfdl-esm4 ssp585","shock_0.25",0.999027546328221,0.303435334868664,0.0173450349131791,30
"Belarus","ipsl-cm6a-lr ssp126","shock_0.25",0.99987682393583,0.761070638528329,0.105502387245087,30
"Belarus","ipsl-cm6a-lr ssp585","shock_0.25",0.997169120591195,0.227007709103481,0.00749999999999995,30
"Belgium","gfdl-esm4 ssp126","shock_0.25",0.99994125017948,0.216694216349837,0,30
"Belgium","gfdl-esm4 ssp585","shock_0.25",0.999585277864248,0.358764156447319,0.0254511515999998,30
"Belgium","ipsl-cm6a-lr ssp126","shock_0.25",1,0.170143791392,0,30
"Belgium","ipsl-cm6a-lr ssp585","shock_0.25",1,0.376745837522203,-4.44089209850063e-16,30
"Belize","gfdl-esm4 ssp126","shock_0.25",1,0.772099864101613,0.107490720191781,30
"Belize","gfdl-esm4 ssp585","shock_0.25",0.990742943251751,0.286500004358037,0.00856786703316481,30
"Belize","ipsl-cm6a-lr ssp126","shock_0.25",1,0.924199990125445,0.454278293704818,30
"Belize","ipsl-cm6a-lr ssp585","shock_0.25",1,0.963324584742531,0.455177552463798,30
"Benin","gfdl-esm4 ssp126","shock_0.25",0.999302142270513,0.357558725582976,0,30
