"regions","climates","spans","at_least_two_shocks_down","at_least_three_shocks_down","time_window","at_least_one_shock_up_down","at_least_one_shock_up","at_least_one_shock_down","at_least_two_shocks_up","at_least_three_shocks_up"
"Austria","gfdl-esm4 ssp126","0.25",0.4924923608656,0.000908999999999605,30,0.275694783849503,0.908687072382518,0.996378854142507,0.0535424660921521,0.000908999999999827
"Austria","gfdl-esm4 ssp585","0.25",0.282852129094286,1.11022302462516e-16,30,0.308996328561334,0.816006491725131,1,0.01818,0
"Austria","ipsl-cm6a-lr ssp126","0.25",0.355855401132792,0,30,0.218382063795358,0.681320495403362,1,0.01818,0
"Austria","ipsl-cm6a-lr ssp585","0.25",0.15726959964409,0.00599959999999988,30,0.292822186237683,0.975552485049439,1,0.35608322468,0
"Azerbaijan","gfdl-esm4 ssp126","0.25",0.0459595148645292,0,30,0.153202570918721,0.974880400226195,0.915687711881487,0.11157401489108,0.00100989900000004
"Azerbaijan","gfdl-esm4 ssp585","0.25",0.124392956360183,1.11022302462516e-16,30,0.167692174570172,0.93114864093959,0.980889857820245,0.0811490752819098,0
"Azerbaijan","ipsl-cm6a-lr ssp126","0.25",0.445054085073843,0.025679861365864,30,0.500533192147083,0.98327245804809,0.999547797587955,0.143846633733705,0.00403959599999992
"Azerbaijan","ipsl-cm6a-lr ssp585","0.25",0.492568865151037,0,30,0.654592873737142,0.994614656306859,0.999945027039463,0.428389651277234,0.0316795066132144
"Bahamas","gfdl-esm4 ssp126","0.25",0.122344369256072,-8.88178419700125e-16,30,0.303294569153981,0.955784281685504,1,0,0
"Bahamas","gfdl-esm4 ssp585","0.25",0.0854993138683121,-2.22044604925031e-16,30,0.46419167895679,1,0.971352870174272,0.0370296299999999,-2.22044604925031e-16
"Bahamas","ipsl-cm6a-lr ssp126","0.25",0.149100109099981,0,30,0.416156850932065,0.987816930452347,1,0.0740592599999998,-2.22044604925031e-16
"Bahamas","ipsl-cm6a-lr ssp585","0.25",0.0245340651668956,-4.44089209850063e-16,30,0.246245533012336,0.971119085780914,0.913473771938674,0.115437243470498,0
"Bahrain","gfdl-esm4 ssp126","0.25",0,NA,30,0,0.68359375,0.488,0,NA
