"regions","climates","spans","at_least_half_shocks","at_least_half_bis_shocks","time_window"
120,"ipsl-cm6a-lr ssp126","shock_0.25",0.0965071663053152,0.0965071663053152,30
120,"ipsl-cm6a-lr ssp585","shock_0.25",0.88999905865098,0.88999905865098,30
121,"gfdl-esm4 ssp126","shock_0.25",0.0277930940831349,0.0277930940831349,30
121,"gfdl-esm4 ssp585","shock_0.25",0.386682734634537,0.386682734634537,30
121,"ipsl-cm6a-lr ssp126","shock_0.25",0.075612928497133,0.075612928497133,30
121,"ipsl-cm6a-lr ssp585","shock_0.25",0.0439817587877059,0.0439817587877059,30
123,"gfdl-esm4 ssp126","shock_0.25",0.0334669615632094,0.0334669615632094,30
123,"gfdl-esm4 ssp585","shock_0.25",0.407805641165644,0.407805641165644,30
123,"ipsl-cm6a-lr ssp126","shock_0.25",0.0728915305801746,0.0728915305801746,30
123,"ipsl-cm6a-lr ssp585","shock_0.25",0.826776426282851,0.826776426282851,30
124,"gfdl-esm4 ssp126","shock_0.25",0.1482743937142,0.1482743937142,30
124,"gfdl-esm4 ssp585","shock_0.25",0.0614100987853173,0.0614100987853173,30
124,"ipsl-cm6a-lr ssp126","shock_0.25",0.0142964749757221,0.0142964749757221,30
124,"ipsl-cm6a-lr ssp585","shock_0.25",0.134460112236335,0.134460112236335,30
127,"gfdl-esm4 ssp126","shock_0.25",0.432948279138869,0.432948279138869,30
127,"gfdl-esm4 ssp585","shock_0.25",0.913698929098831,0.913698929098831,30
127,"ipsl-cm6a-lr ssp126","shock_0.25",0.245659002351551,0.245659002351551,30
127,"ipsl-cm6a-lr ssp585","shock_0.25",0.72663242177526,0.72663242177526,30
128,"gfdl-esm4 ssp126","shock_0.25",0.0343239216089819,0.0343239216089819,30
128,"gfdl-esm4 ssp585","shock_0.25",0.0724139526045142,0.0724139526045142,30
128,"ipsl-cm6a-lr ssp126","shock_0.25",0.122006876824455,0.122006876824455,30
128,"ipsl-cm6a-lr ssp585","shock_0.25",0.0642280747471479,0.0642280747471479,30
130,"gfdl-esm4 ssp126","shock_0.25",0.221979042135868,0.221979042135868,30
130,"gfdl-esm4 ssp585","shock_0.25",0.0530908042134308,0.0530908042134308,30
130,"ipsl-cm6a-lr ssp126","shock_0.25",0.319481387952476,0.319481387952476,30
130,"ipsl-cm6a-lr ssp585","shock_0.25",0.24560010182505,0.24560010182505,30
132,"gfdl-esm4 ssp126","shock_0.25",0.0302458344598382,0.0302458344598382,30
132,"gfdl-esm4 ssp585","shock_0.25",0.21028988318588,0.21028988318588,30
132,"ipsl-cm6a-lr ssp126","shock_0.25",0.083946881291558,0.083946881291558,30
132,"ipsl-cm6a-lr ssp585","shock_0.25",0.853836753579012,0.853836753579012,30
135,"gfdl-esm4 ssp126","shock_0.25",0.247593489918174,0.247593489918174,30
135,"gfdl-esm4 ssp585","shock_0.25",0.247268838351611,0.247268838351611,30
135,"ipsl-cm6a-lr ssp126","shock_0.25",0.161318613306032,0.161318613306032,30
135,"ipsl-cm6a-lr ssp585","shock_0.25",0.182577813006176,0.182577813006176,30
136,"gfdl-esm4 ssp126","shock_0.25",0.180796482605654,0.180796482605654,30
136,"gfdl-esm4 ssp585","shock_0.25",0.37175645000506,0.37175645000506,30
136,"ipsl-cm6a-lr ssp126","shock_0.25",0.0158251513064001,0.0158251513064001,30
136,"ipsl-cm6a-lr ssp585","shock_0.25",0.198444607858868,0.198444607858868,30
137,"gfdl-esm4 ssp126","shock_0.25",0.0209267316042854,0.0209267316042854,30
137,"gfdl-esm4 ssp585","shock_0.25",0.109861095362255,0.109861095362255,30
137,"ipsl-cm6a-lr ssp126","shock_0.25",0.122062679710759,0.122062679710759,30
137,"ipsl-cm6a-lr ssp585","shock_0.25",0.710669020512121,0.710669020512121,30
140,"gfdl-esm4 ssp126","shock_0.25",0.0378687838772785,0.0378687838772785,30
140,"gfdl-esm4 ssp585","shock_0.25",0.162576845578653,0.162576845578653,30
140,"ipsl-cm6a-lr ssp126","shock_0.25",0.0287162291418974,0.0287162291418974,30
140,"ipsl-cm6a-lr ssp585","shock_0.25",0.128171549003852,0.128171549003852,30
141,"gfdl-esm4 ssp126","shock_0.25",0.0188583120197583,0.269561291303253,30
141,"gfdl-esm4 ssp585","shock_0.25",0.0419360310174053,0.257393716343272,30
141,"ipsl-cm6a-lr ssp126","shock_0.25",0.0438601019910214,0.258678244261984,30
141,"ipsl-cm6a-lr ssp585","shock_0.25",0.0420365326582715,0.41271517827687,30
145,"gfdl-esm4 ssp126","shock_0.25",0.0182079062457069,0.0182079062457069,30
145,"gfdl-esm4 ssp585","shock_0.25",0.109861095362255,0.109861095362255,30
145,"ipsl-cm6a-lr ssp126","shock_0.25",0.103282498414057,0.103282498414057,30
145,"ipsl-cm6a-lr ssp585","shock_0.25",0.758408826661537,0.758408826661537,30
146,"gfdl-esm4 ssp126","shock_0.25",0.0350622544443709,0.0350622544443709,30
146,"gfdl-esm4 ssp585","shock_0.25",0.0450041478794666,0.0450041478794666,30
146,"ipsl-cm6a-lr ssp126","shock_0.25",0.135176976911593,0.135176976911593,30
146,"ipsl-cm6a-lr ssp585","shock_0.25",0.155376803671684,0.155376803671684,30
147,"gfdl-esm4 ssp126","shock_0.25",0.0503453069619713,0.0503453069619713,30
147,"gfdl-esm4 ssp585","shock_0.25",0.107181466801282,0.107181466801282,30
147,"ipsl-cm6a-lr ssp126","shock_0.25",0.00550798914599993,0.00550798914599993,30
147,"ipsl-cm6a-lr ssp585","shock_0.25",0.210518898469783,0.210518898469783,30
149,"gfdl-esm4 ssp126","shock_0.25",0.14348258608398,0.14348258608398,30
149,"gfdl-esm4 ssp585","shock_0.25",0.0607428259844952,0.0607428259844952,30
149,"ipsl-cm6a-lr ssp126","shock_0.25",0.018792021010306,0.018792021010306,30
149,"ipsl-cm6a-lr ssp585","shock_0.25",0.249572810275971,0.249572810275971,30
151,"gfdl-esm4 ssp126","shock_0.25",0.0282840844653426,0.0282840844653426,30
151,"gfdl-esm4 ssp585","shock_0.25",0.467674932677531,0.467674932677531,30
151,"ipsl-cm6a-lr ssp126","shock_0.25",0.806038317477417,0.806038317477417,30
151,"ipsl-cm6a-lr ssp585","shock_0.25",0.345207830090091,0.345207830090091,30
152,"gfdl-esm4 ssp126","shock_0.25",0.174569804125801,0.174569804125801,30
152,"gfdl-esm4 ssp585","shock_0.25",0.043306626082696,0.043306626082696,30
152,"ipsl-cm6a-lr ssp126","shock_0.25",0.0286041008002025,0.0286041008002025,30
152,"ipsl-cm6a-lr ssp585","shock_0.25",0.235380905097439,0.235380905097439,30
188,"gfdl-esm4 ssp126","shock_0.25",0.0141783745619204,0.0141783745619204,30
188,"gfdl-esm4 ssp585","shock_0.25",0.0361490902975622,0.0361490902975622,30
188,"ipsl-cm6a-lr ssp126","shock_0.25",0.0654912143735519,0.0654912143735519,30
188,"ipsl-cm6a-lr ssp585","shock_0.25",0.20975096285631,0.20975096285631,30
579,"gfdl-esm4 ssp126","shock_0.25",0.0946652390653612,0.0946652390653612,30
579,"gfdl-esm4 ssp585","shock_0.25",0.0282505055313239,0.0282505055313239,30
579,"ipsl-cm6a-lr ssp126","shock_0.25",0.111652409386947,0.111652409386947,30
579,"ipsl-cm6a-lr ssp585","shock_0.25",0.115720544435705,0.115720544435705,30
582,"gfdl-esm4 ssp126","shock_0.25",0.306111,0.883215992061719,30
582,"gfdl-esm4 ssp585","shock_0.25",0,0.758797973388672,30
582,"ipsl-cm6a-lr ssp126","shock_0.25",0.2959744,0.986828849439314,30
582,"ipsl-cm6a-lr ssp585","shock_0.25",0.1168,0.93714048015625,30
583,"gfdl-esm4 ssp126","shock_0.25",0.0650007310691038,0.0650007310691038,30
583,"gfdl-esm4 ssp585","shock_0.25",0.200970427984071,0.200970427984071,30
583,"ipsl-cm6a-lr ssp126","shock_0.25",0.490166616842799,0.490166616842799,30
583,"ipsl-cm6a-lr ssp585","shock_0.25",0.0237237900046818,0.0237237900046818,30
620,"gfdl-esm4 ssp126","shock_0.25",0.310210886803217,0.310210886803217,30
620,"gfdl-esm4 ssp585","shock_0.25",0.0507715529916339,0.0507715529916339,30
620,"ipsl-cm6a-lr ssp126","shock_0.25",0.0682027269112435,0.0682027269112435,30
620,"ipsl-cm6a-lr ssp585","shock_0.25",0.0409222895781959,0.0409222895781959,30
640,"gfdl-esm4 ssp126","shock_0.25",0.207304971363093,0.207304971363093,30
640,"gfdl-esm4 ssp585","shock_0.25",0.171692611133653,0.171692611133653,30
640,"ipsl-cm6a-lr ssp126","shock_0.25",0.0257652062079716,0.0257652062079716,30
640,"ipsl-cm6a-lr ssp585","shock_0.25",0.127024021507943,0.127024021507943,30
755,"gfdl-esm4 ssp126","shock_0.25",0.0742580355461239,0.0742580355461239,30
755,"gfdl-esm4 ssp585","shock_0.25",0.192731540981145,0.192731540981145,30
755,"ipsl-cm6a-lr ssp126","shock_0.25",0.127161343576069,0.127161343576069,30
755,"ipsl-cm6a-lr ssp585","shock_0.25",0.189397840609315,0.189397840609315,30
762,"gfdl-esm4 ssp126","shock_0.25",0.195048657053637,0.195048657053637,30
762,"gfdl-esm4 ssp585","shock_0.25",0.00856623603618001,0.00856623603618001,30
762,"ipsl-cm6a-lr ssp126","shock_0.25",0.0434660668489304,0.0434660668489304,30
762,"ipsl-cm6a-lr ssp585","shock_0.25",0.0703936203946164,0.0703936203946164,30
764,"gfdl-esm4 ssp126","shock_0.25",0.0417669855003878,0.0417669855003878,30
764,"gfdl-esm4 ssp585","shock_0.25",0.49887626100246,0.49887626100246,30
764,"ipsl-cm6a-lr ssp126","shock_0.25",0.710061499800992,0.710061499800992,30
764,"ipsl-cm6a-lr ssp585","shock_0.25",0.214130761152707,0.214130761152707,30
838,"gfdl-esm4 ssp126","shock_0.25",0.178745278266711,0.178745278266711,30
838,"gfdl-esm4 ssp585","shock_0.25",0.160619619307584,0.160619619307584,30
838,"ipsl-cm6a-lr ssp126","shock_0.25",0.0207087806146496,0.0207087806146496,30
838,"ipsl-cm6a-lr ssp585","shock_0.25",0.156392082413889,0.156392082413889,30
857,"gfdl-esm4 ssp126","shock_0.25",0.0396878112760145,0.0396878112760145,30
857,"gfdl-esm4 ssp585","shock_0.25",0.0229117604341452,0.0229117604341452,30
857,"ipsl-cm6a-lr ssp126","shock_0.25",0.11045023917535,0.11045023917535,30
857,"ipsl-cm6a-lr ssp585","shock_0.25",0.131344412830262,0.131344412830262,30
863,"gfdl-esm4 ssp126","shock_0.25",0.204564335047349,0.204564335047349,30
863,"gfdl-esm4 ssp585","shock_0.25",0.13429041954124,0.13429041954124,30
863,"ipsl-cm6a-lr ssp126","shock_0.25",0.201962268933349,0.201962268933349,30
863,"ipsl-cm6a-lr ssp585","shock_0.25",0.204536550725192,0.204536550725192,30
869,"gfdl-esm4 ssp126","shock_0.25",0.146257902925071,0.146257902925071,30
869,"gfdl-esm4 ssp585","shock_0.25",0.382576647947991,0.382576647947991,30
869,"ipsl-cm6a-lr ssp126","shock_0.25",0.0632278385455497,0.0632278385455497,30
869,"ipsl-cm6a-lr ssp585","shock_0.25",0.848655155606739,0.848655155606739,30
878,"gfdl-esm4 ssp126","shock_0.25",0.0374390210226901,0.0374390210226901,30
878,"gfdl-esm4 ssp585","shock_0.25",0.445804032301888,0.445804032301888,30
878,"ipsl-cm6a-lr ssp126","shock_0.25",0.845506684859695,0.845506684859695,30
878,"ipsl-cm6a-lr ssp585","shock_0.25",0.435362632793393,0.435362632793393,30
889,"gfdl-esm4 ssp126","shock_0.25",0.210768680927882,0.210768680927882,30
889,"gfdl-esm4 ssp585","shock_0.25",0.207401275324985,0.207401275324985,30
889,"ipsl-cm6a-lr ssp126","shock_0.25",0.195621842087074,0.195621842087074,30
889,"ipsl-cm6a-lr ssp585","shock_0.25",0.0920566217712784,0.0920566217712784,30
901,"gfdl-esm4 ssp126","shock_0.25",0.0429555173110054,0.0429555173110054,30
901,"gfdl-esm4 ssp585","shock_0.25",0.0474754552297727,0.0474754552297727,30
901,"ipsl-cm6a-lr ssp126","shock_0.25",0.137192982639089,0.137192982639089,30
901,"ipsl-cm6a-lr ssp585","shock_0.25",0.0327490834007217,0.0327490834007217,30
909,"gfdl-esm4 ssp126","shock_0.25",0.067686469741546,0.067686469741546,30
909,"gfdl-esm4 ssp585","shock_0.25",0.0507556661893351,0.0507556661893351,30
909,"ipsl-cm6a-lr ssp126","shock_0.25",0.12616049241213,0.12616049241213,30
909,"ipsl-cm6a-lr ssp585","shock_0.25",0.0788156915095342,0.0788156915095342,30
910,"gfdl-esm4 ssp126","shock_0.25",0.0257950438936362,0.0257950438936362,30
910,"gfdl-esm4 ssp585","shock_0.25",0.213730331626962,0.213730331626962,30
910,"ipsl-cm6a-lr ssp126","shock_0.25",0.18716693162013,0.18716693162013,30
910,"ipsl-cm6a-lr ssp585","shock_0.25",0.110413046089002,0.110413046089002,30
922,"gfdl-esm4 ssp126","shock_0.25",0.0238233642771565,0.0238233642771565,30
922,"gfdl-esm4 ssp585","shock_0.25",0.0148394074966166,0.0148394074966166,30
922,"ipsl-cm6a-lr ssp126","shock_0.25",0.096031813526352,0.096031813526352,30
922,"ipsl-cm6a-lr ssp585","shock_0.25",0.172608677854827,0.172608677854827,30
948,"gfdl-esm4 ssp126","shock_0.25",0.162694131051567,0.162694131051567,30
