"regions","climates","at_least_one_shock","at_least_two_shocks","at_least_three_shocks","time_window"
"Belarus","ipsl-cm6a-lr ssp585",0.932936324418475,0,NA,30
"Belgium","gfdl-esm4 ssp126",0.96825557825113,0,NA,30
"Belgium","gfdl-esm4 ssp585",0.992550210770748,0,NA,30
"Belgium","ipsl-cm6a-lr ssp126",1,0.14544,NA,30
"Belgium","ipsl-cm6a-lr ssp585",1,0.0545399999999999,NA,30
"Belize","gfdl-esm4 ssp126",1,0.318175,0,30
"Belize","gfdl-esm4 ssp585",0.902192701639883,0,0,30
"Belize","ipsl-cm6a-lr ssp126",0.995645459136532,0.419347822182844,0.0420184617070721,30
"Belize","ipsl-cm6a-lr ssp585",1,0.612695634180285,0,30
"Benin","gfdl-esm4 ssp126",0.976190519503111,0,0,30
"Benin","gfdl-esm4 ssp585",1,0.0909,0,30
"Benin","ipsl-cm6a-lr ssp126",1,0,0,30
"Benin","ipsl-cm6a-lr ssp585",1,0.31718472760992,0,30
"Bhutan","gfdl-esm4 ssp126",1,0.922696868496432,0.08263719,30
"Bhutan","gfdl-esm4 ssp585",1,0.56444128667651,0.0330512399999998,30
"Bhutan","ipsl-cm6a-lr ssp126",1,0.0722118895192106,0,30
"Bhutan","ipsl-cm6a-lr ssp585",1,0.486805959623367,0.00826280999999995,30
"Bolivia","gfdl-esm4 ssp126",1,0.540620552834363,0.0198307439999996,30
"Bolivia","gfdl-esm4 ssp585",0.999986098143099,0.943639117826043,0.448798422868425,30
"Bolivia","ipsl-cm6a-lr ssp126",1,0.357936295184786,0.00495768599999968,30
"Bolivia","ipsl-cm6a-lr ssp585",1,0.750487895026326,0.0991537199999994,30
"Bosnia and Herzegovina","gfdl-esm4 ssp126",0.747520238864,0,NA,30
"Bosnia and Herzegovina","gfdl-esm4 ssp585",0.910734698116969,0,NA,30
"Bosnia and Herzegovina","ipsl-cm6a-lr ssp126",0.879075308995805,0,NA,30
"Bosnia and Herzegovina","ipsl-cm6a-lr ssp585",0.991118561985756,0.10908,NA,30
"Botswana","gfdl-esm4 ssp126",0.985816595164547,0.194490086555821,0.00165256200000008,30
"Botswana","gfdl-esm4 ssp585",0.984614921579412,0.330386939529628,0.013220496,30
"Botswana","ipsl-cm6a-lr ssp126",0.880062392972713,0.0992694948024219,1.11022302462516e-16,30
"Botswana","ipsl-cm6a-lr ssp585",0.93429087405791,0.1164415026852,0,30
"Brazil","gfdl-esm4 ssp126",1,0.363014658075974,0.0165256199999999,30
"Brazil","gfdl-esm4 ssp585",0.99714577906393,0.108706209369283,0,30
"Brazil","ipsl-cm6a-lr ssp126",0.999756080625516,0.256166942562,0,30
"Brazil","ipsl-cm6a-lr ssp585",1,0.667146694365229,0,30
"Brunei","gfdl-esm4 ssp126",1,0.25,NA,30
"Brunei","gfdl-esm4 ssp585",0.85,0,NA,30
"Brunei","ipsl-cm6a-lr ssp126",1,0.1667,NA,30
"Brunei","ipsl-cm6a-lr ssp585",1,0,NA,30
"Bulgaria","gfdl-esm4 ssp126",0.986609745234,0,0,30
"Bulgaria","gfdl-esm4 ssp585",0.99077917991636,0.135937314,0,30
"Bulgaria","ipsl-cm6a-lr ssp126",0.976568502345101,0.0748463953034912,0.00303060599999982,30
"Bulgaria","ipsl-cm6a-lr ssp585",0.943455787516372,0.0151530299999999,0,30
"Burkina Faso","gfdl-esm4 ssp126",1,0.12728,NA,30
"Burkina Faso","gfdl-esm4 ssp585",1,0,NA,30
"Burkina Faso","ipsl-cm6a-lr ssp126",1,0.2727,NA,30
