"regions","climates","at_least_two_shocks_down","at_least_three_shocks_down","time_window","at_least_one_shock_up_down"
"Ascension","gfdl-esm4 ssp585",0,0,30,0
"Ascension","ipsl-cm6a-lr ssp126",0,0,30,0
"Ascension","ipsl-cm6a-lr ssp585",0,0,30,0
"Australia","gfdl-esm4 ssp126",0.25,0,30,0.994180887709934
"Australia","gfdl-esm4 ssp585",0.0164573459709038,0,30,0.558168492827191
"Australia","ipsl-cm6a-lr ssp126",0.00826280999999995,0,30,0.347058443834632
"Australia","ipsl-cm6a-lr ssp585",0.0246518819418077,0,30,0.647137984507889
"Austria","gfdl-esm4 ssp126",0.434407742377047,0.0592640396737664,30,0.173259601961965
"Austria","gfdl-esm4 ssp585",0.213782663162136,0.00826280999999995,30,0.180130751908125
"Austria","ipsl-cm6a-lr ssp126",0.467475911766873,0.0323264329495619,30,0.0239069986220526
"Austria","ipsl-cm6a-lr ssp585",0.00826280999999995,0,30,0.0245841720480419
"Azerbaijan","gfdl-esm4 ssp126",0.0652272428364579,0,30,0.129605699646351
"Azerbaijan","gfdl-esm4 ssp585",0.13635,0,30,0.17550492351243
"Azerbaijan","ipsl-cm6a-lr ssp126",0.271613549961081,0,30,0.289385012014347
"Azerbaijan","ipsl-cm6a-lr ssp585",0.30340133187312,-2.22044604925031e-16,30,0.730759125128272
"Azores","gfdl-esm4 ssp126",0.0625,0,30,0
"Azores","gfdl-esm4 ssp585",0.25,0,30,0
"Azores","ipsl-cm6a-lr ssp126",0,0,30,0
"Azores","ipsl-cm6a-lr ssp585",0,0,30,0
"Bahamas","gfdl-esm4 ssp126",0.0388750752854999,0,30,0.304727880735616
"Bahamas","gfdl-esm4 ssp585",0.0656335766873842,-2.22044604925031e-16,30,0.25
"Bahamas","ipsl-cm6a-lr ssp126",0.0232906333921855,0,30,0.110098653876469
"Bahamas","ipsl-cm6a-lr ssp585",0.0164573459709038,0,30,0.108864154333266
"Bahrain","gfdl-esm4 ssp126",0,0,30,0
"Bahrain","gfdl-esm4 ssp585",0,0,30,0
"Bahrain","ipsl-cm6a-lr ssp126",0,0,30,0.041675
"Bahrain","ipsl-cm6a-lr ssp585",0.0416749999999999,0,30,0.3333
"Bajo Nuevo Bank","gfdl-esm4 ssp126",0,0,30,0
"Bajo Nuevo Bank","gfdl-esm4 ssp585",0,0,30,0
"Bajo Nuevo Bank","ipsl-cm6a-lr ssp126",0,0,30,0
"Bajo Nuevo Bank","ipsl-cm6a-lr ssp585",0,0,30,0.02778889
"Bangladesh","gfdl-esm4 ssp126",0.83288270232803,0.287345895753677,30,0.448851309049344
"Bangladesh","gfdl-esm4 ssp585",0.0731363574762701,0,30,0.386512724172099
"Bangladesh","ipsl-cm6a-lr ssp126",0.500750295918581,0.0338006452137557,30,0.74674195067701
"Bangladesh","ipsl-cm6a-lr ssp585",0.610513837328874,0.076644948245548,30,0.883644996747235
"Barbados","gfdl-esm4 ssp126",0.25,0,30,0
"Barbados","gfdl-esm4 ssp585",0,0,30,0
"Barbados","ipsl-cm6a-lr ssp126",0.08335,0,30,0.264457761118776
"Barbados","ipsl-cm6a-lr ssp585",0,0,30,0
"Bassas da India","gfdl-esm4 ssp126",0,0,30,0
"Bassas da India","gfdl-esm4 ssp585",0,0,30,0
"Bassas da India","ipsl-cm6a-lr ssp126",0,0,30,0
"Bassas da India","ipsl-cm6a-lr ssp585",0,0,30,0
"Belarus","gfdl-esm4 ssp126",0.641326696641289,0.0851066906042388,30,0.0945971103796929
"Belarus","gfdl-esm4 ssp585",0.14725401858,0.00901472570999984,30,0.0951139464911798
"Belarus","ipsl-cm6a-lr ssp126",0.668594949286931,0.166072477197542,30,0.0835103664093374
"Belarus","ipsl-cm6a-lr ssp585",0.07587449292825,0,30,0.197431134775723
"Belgium","gfdl-esm4 ssp126",0.0410409538836154,-2.22044604925031e-16,30,0.145856623315138
"Belgium","gfdl-esm4 ssp585",0.13994719227665,0,30,0.233445638701847
"Belgium","ipsl-cm6a-lr ssp126",0.0165256199999999,0,30,0.0477034435687429
"Belgium","ipsl-cm6a-lr ssp585",0.161118661651744,0,30,0.120760678524446
"Belize","gfdl-esm4 ssp126",0.416330219746967,-2.22044604925031e-16,30,0.669809388990916
"Belize","gfdl-esm4 ssp585",0.303215162522312,0.0209881938622234,30,0.162522025397337
"Belize","ipsl-cm6a-lr ssp126",0.876473652546625,0.393618885865241,30,0.322587219026207
"Belize","ipsl-cm6a-lr ssp585",0.515015376293956,0.0807060296623507,30,0.844075204643077
"Benin","gfdl-esm4 ssp126",0.146559220742096,0.00619710750000013,30,0.0319722696347683
"Benin","gfdl-esm4 ssp585",0.676551646201815,0.0871581049592308,30,0.146511622699847
"Benin","ipsl-cm6a-lr ssp126",0.200584074415861,0.0030026653100087,30,0.400805422796782
"Benin","ipsl-cm6a-lr ssp585",0.237580785,0.0123942149999999,30,0.427660979433726
"Bermuda","gfdl-esm4 ssp126",0,0,30,0
"Bermuda","gfdl-esm4 ssp585",0,0,30,0.0625
"Bermuda","ipsl-cm6a-lr ssp126",0,0,30,0.166675
"Bermuda","ipsl-cm6a-lr ssp585",0,0,30,0
"Bhutan","gfdl-esm4 ssp126",0.961868394458065,0.662336316916919,30,0.126137331094913
"Bhutan","gfdl-esm4 ssp585",0.498028303941243,0.0199073099744054,30,0.397293339956272
"Bhutan","ipsl-cm6a-lr ssp126",0.0730110119992385,0.00206570249999993,30,0
"Bhutan","ipsl-cm6a-lr ssp585",0.507329205424419,0.0533331334259999,30,0.800582431788271
"Bolivia","gfdl-esm4 ssp126",0.887052199848547,0.442236204183173,30,0.310031332450148
"Bolivia","gfdl-esm4 ssp585",0.996664792772298,0.889890370337788,30,0.766134858085574
"Bolivia","ipsl-cm6a-lr ssp126",0.748622731260036,0.152523571541627,30,0.237681402065858
"Bolivia","ipsl-cm6a-lr ssp585",0.952842818409555,0.563021077407825,30,0.295746603716507
"Bonaire","gfdl-esm4 ssp126",0,0,30,0
"Bonaire","gfdl-esm4 ssp585",0,0,30,0
"Bonaire","ipsl-cm6a-lr ssp126",0,0,30,0
"Bonaire","ipsl-cm6a-lr ssp585",0,0,30,0
"Bosnia and Herzegovina","gfdl-esm4 ssp126",0.33006254692158,0,30,0.15035445224012
"Bosnia and Herzegovina","gfdl-esm4 ssp585",0.156786500026639,0.00300435771599983,30,0.113352071589274
"Bosnia and Herzegovina","ipsl-cm6a-lr ssp126",0.364524367620451,0.0164613865507781,30,0.0313609973136862
"Bosnia and Herzegovina","ipsl-cm6a-lr ssp585",0.147202397017816,0,30,0.24513645159953
"Botswana","gfdl-esm4 ssp126",0.185948188254234,0,30,0.181016733388542
"Botswana","gfdl-esm4 ssp585",0.296536626813697,0.0209796422145109,30,0.177949117237223
"Botswana","ipsl-cm6a-lr ssp126",0.0164573459709038,0,30,0.0512886312927741
"Botswana","ipsl-cm6a-lr ssp585",0.0328464179127116,0,30,0.16527438
