"climates","at_least_one_shock","at_least_two_shocks","at_least_three_shocks","time_window"
"gfdl-esm4 ssp126",1,0.357595003287,0.00413140499999998,30
"gfdl-esm4 ssp585",1,1,0.098396203591037,30
"ipsl-cm6a-lr ssp126",0.993094768496899,0.203235892916955,0,30
"ipsl-cm6a-lr ssp585",1,0.356931271196192,0.0261316965850488,30
"gfdl-esm4 ssp126",1,0.29336157,0,20
"gfdl-esm4 ssp585",1,1,0.0946558602854999,20
"ipsl-cm6a-lr ssp126",0.961723202444614,0.138476358810421,0,20
"ipsl-cm6a-lr ssp585",1,0.356931271196192,0.0261316965850488,20
"gfdl-esm4 ssp126",0.849749061142,0,0,10
"gfdl-esm4 ssp585",0.691344043717621,0.0917002477983075,0.00413140499999987,10
"ipsl-cm6a-lr ssp126",0.765222994696442,0.0909,0,10
"ipsl-cm6a-lr ssp585",1,0.0947830444321982,0.0013774104269999,10
