"regions","climates","spans","at_least_half_shocks","at_least_half_bis_shocks","time_window"
"Barbados","gfdl-esm4 ssp126","shock_0.25",1,1,30
"Barbados","gfdl-esm4 ssp585","shock_0.25",0.875,0.875,30
"Barbados","ipsl-cm6a-lr ssp126","shock_0.25",0.995866242622565,0.995866242622565,30
"Barbados","ipsl-cm6a-lr ssp585","shock_0.25",0.832591195398448,0.832591195398448,30
"Belarus","gfdl-esm4 ssp126","shock_0.25",0.163678629372924,0.493057864914549,30
"Belarus","gfdl-esm4 ssp585","shock_0.25",0.0173450349131791,0.169958147191729,30
"Belarus","ipsl-cm6a-lr ssp126","shock_0.25",0.105502387245087,0.487272371242936,30
"Belarus","ipsl-cm6a-lr ssp585","shock_0.25",0.00749999999999995,0.121634414838705,30
"Belgium","gfdl-esm4 ssp126","shock_0.25",0.216694216349837,0.216694216349837,30
"Belgium","gfdl-esm4 ssp585","shock_0.25",0.358764156447319,0.358764156447319,30
"Belgium","ipsl-cm6a-lr ssp126","shock_0.25",0.170143791392,0.170143791392,30
"Belgium","ipsl-cm6a-lr ssp585","shock_0.25",0.376745837522203,0.376745837522203,30
"Belize","gfdl-esm4 ssp126","shock_0.25",0.107490720191781,0.523869642366483,30
"Belize","gfdl-esm4 ssp585","shock_0.25",0.00856786703316481,0.155837388243598,30
"Belize","ipsl-cm6a-lr ssp126","shock_0.25",0.454278293704818,0.734443091584228,30
"Belize","ipsl-cm6a-lr ssp585","shock_0.25",0.455177552463798,0.816434327725012,30
"Benin","gfdl-esm4 ssp126","shock_0.25",0,0.193900436884307,30
"Benin","gfdl-esm4 ssp585","shock_0.25",0.0302418717445563,0.41261060741978,30
"Benin","ipsl-cm6a-lr ssp126","shock_0.25",0.00403959599999992,0.183561581437694,30
"Benin","ipsl-cm6a-lr ssp585","shock_0.25",0.0991233224277382,0.501496860555844,30
"Bhutan","gfdl-esm4 ssp126","shock_0.25",0.786580624286685,0.919899263485712,30
"Bhutan","gfdl-esm4 ssp585","shock_0.25",0.229713895356567,0.702023367177903,30
"Bhutan","ipsl-cm6a-lr ssp126","shock_0.25",0.00760149666823895,0.1128772643486,30
"Bhutan","ipsl-cm6a-lr ssp585","shock_0.25",0.225384051685843,0.739728570534712,30
"Bolivia","gfdl-esm4 ssp126","shock_0.25",0.492098950708505,0.805173312945782,30
"Bolivia","gfdl-esm4 ssp585","shock_0.25",0.980087695563809,0.997377291541243,30
"Bolivia","ipsl-cm6a-lr ssp126","shock_0.25",0.2560336289597,0.700041769668494,30
"Bolivia","ipsl-cm6a-lr ssp585","shock_0.25",0.566860956570759,0.911683448170257,30
"Bosnia and Herzegovina","gfdl-esm4 ssp126","shock_0.25",0.00727199999999995,0.196612586711951,30
"Bosnia and Herzegovina","gfdl-esm4 ssp585","shock_0.25",0.0271047437999998,0.326480222781796,30
"Bosnia and Herzegovina","ipsl-cm6a-lr ssp126","shock_0.25",0.00696288601085371,0.121459327403797,30
"Bosnia and Herzegovina","ipsl-cm6a-lr ssp585","shock_0.25",0.14035165385697,0.599250474383635,30
"Botswana","gfdl-esm4 ssp126","shock_0.25",0.718820485826863,0.718820485826863,30
"Botswana","gfdl-esm4 ssp585","shock_0.25",0.744129398581308,0.744129398581308,30
"Botswana","ipsl-cm6a-lr ssp126","shock_0.25",0.376467505272823,0.376467505272823,30
"Botswana","ipsl-cm6a-lr ssp585","shock_0.25",0.378592537157891,0.378592537157891,30
"Brazil","gfdl-esm4 ssp126","shock_0.25",0.000826280999999929,0.000826280999999929,30
"Brazil","gfdl-esm4 ssp585","shock_0.25",0.180526751507069,0.180526751507069,30
"Brazil","ipsl-cm6a-lr ssp126","shock_0.25",0.121386071917358,0.121386071917358,30
"Brazil","ipsl-cm6a-lr ssp585","shock_0.25",0.407891053831033,0.407891053831033,30
"Brunei","gfdl-esm4 ssp126","shock_0.25",0.1111,0.824070873163074,30
"Brunei","gfdl-esm4 ssp585","shock_0.25",0.05555,0.827598135862931,30
"Brunei","ipsl-cm6a-lr ssp126","shock_0.25",0.0185203700000001,0.921819963008336,30
"Brunei","ipsl-cm6a-lr ssp585","shock_0.25",0,0.865569745564577,30
"Bulgaria","gfdl-esm4 ssp126","shock_0.25",0.328214812932776,0.328214812932776,30
"Bulgaria","gfdl-esm4 ssp585","shock_0.25",0.144933311445232,0.144933311445232,30
"Bulgaria","ipsl-cm6a-lr ssp126","shock_0.25",0.0196037262451426,0.0196037262451426,30
"Bulgaria","ipsl-cm6a-lr ssp585","shock_0.25",0.155344839314344,0.155344839314344,30
"Burkina Faso","gfdl-esm4 ssp126","shock_0.25",0.0500869916039194,0.939630518478479,30
